gameId,date,sport,teamName,isHome,playerName,playerNumber,playerPosition,playerId,g,po,a,tc,e,fldPct,ci,pb,sba,csb,idp
6532847,2/28/26,softball,Azusa Pacific,1.0,Bella Fraser,7,RF,9656083.0,1,3,0,4,1,0.75,0,0,0,0,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Abigail Milton,34,RF,11227529.0,1,0,0,0,0,0.0,0,0,0,0,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Celeste Camarena,6,2B,11227518.0,1,3,2,5,0,1.0,0,0,0,0,1
6532847,2/28/26,softball,Azusa Pacific,1.0,Reagan Kunkle,26,3B,11227528.0,1,0,1,1,0,1.0,0,0,0,0,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Jocelyn Guzman,88,SS,11227522.0,1,3,4,7,0,1.0,0,0,0,0,1
6532849,2/28/26,softball,Vanguard,,Megan Ireland,2,2B,9669097.0,1,2,1,4,1,0.75,0,0,0,0,0
6532849,2/28/26,softball,Vanguard,,Lily Roth,25,CF,9660715.0,1,3,0,3,0,1.0,0,0,0,0,0
6532849,2/28/26,softball,Vanguard,,Tiffany Pope,29,LF,9664729.0,1,4,0,4,0,1.0,0,0,0,0,0
6532849,2/28/26,softball,Vanguard,,Adriana Portillo,9,3B,9665380.0,1,1,2,3,0,1.0,0,0,0,0,0
6532849,2/28/26,softball,Vanguard,,Kayla Jade Rodriguez,10,1B,11228267.0,1,5,0,5,0,1.0,0,0,0,0,0
6532849,2/28/26,softball,Vanguard,,ChaCha Miranda,14,C,9654133.0,1,4,0,5,1,0.8,0,0,0,0,0
6532849,2/28/26,softball,Vanguard,,Leah Mays,18,SS,11228273.0,1,1,4,5,0,1.0,0,0,0,0,0
6532849,2/28/26,softball,Vanguard,,Ava Jo McGowan,7,PH,11228263.0,1,0,0,0,0,0.0,0,0,0,0,0
6532849,2/28/26,softball,Vanguard,,Andrea Connor,21,DP,9668000.0,1,0,0,0,0,0.0,0,0,0,0,0
6532849,2/28/26,softball,Vanguard,,Preslee Brower,3,RF,9669668.0,1,1,0,1,0,1.0,0,0,0,0,0
6532849,2/28/26,softball,Azusa Pacific,1.0,Julia Doan,77,LF,9667489.0,1,1,0,1,0,1.0,0,0,0,0,0
6532849,2/28/26,softball,Azusa Pacific,1.0,Hailey Burns,12,CF,9669355.0,1,2,0,2,0,1.0,0,0,0,0,0
6532849,2/28/26,softball,Azusa Pacific,1.0,Hannah Tipton,5,1B,9655368.0,1,7,0,7,0,1.0,0,0,0,0,0
6532849,2/28/26,softball,Azusa Pacific,1.0,Maddy Debs,99,DP,9658202.0,1,0,0,0,0,0.0,0,0,0,0,0
6532849,2/28/26,softball,Azusa Pacific,1.0,Alexus Corona,18,C,9660230.0,1,5,0,6,1,0.833,0,0,3,0,0
6532849,2/28/26,softball,Azusa Pacific,1.0,Abigail Milton,34,RF,11227529.0,1,0,0,1,1,0.0,0,0,0,0,0
6532849,2/28/26,softball,Azusa Pacific,1.0,Bella Fraser,7,PH,9656083.0,1,0,0,0,0,0.0,0,0,0,0,0
