ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id
2201404035,AVA,PUTTLER,Ava Puttler,University of Montana,Big Sky Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1267,143532,3140261,Ava Puttler,100.0,team+lastname,HIGH,RF,Fr,1267
2401205890,EMMA,CHAMBERS,Emma Chambers,Wagner College,Northeast Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1366,145760,3238085,Emma Chambers,100.0,team+lastname,HIGH,SS,Fr,1366
2109327199,GRACE,THOMPSON,Grace Thompson,University of Mississippi,Southeastern Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1243,86092,2803154,Grace Thompson,100.0,team+lastname,HIGH,3B,Sr,1243
2309121993,GIANNA,SERRANO,Gianna Serrano,"University of Nevada, Reno",Mountain West Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1091,143710,3200534,Gianna Serrano,100.0,team+lastname,HIGH,2B,Fr,1091
2208647347,BRANTLEE,WORTHAM,Brantlee Wortham,University of Alabama at Birmingham,American Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1327,106295,3089852,Brantlee Wortham,100.0,team+lastname,HIGH,2B,So,1327
2301764222,SKYLER,RODGERS,Skyler Rodgers,Wichita State University,American Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1172,146041,3199832,Skyler Rodgers,100.0,team+lastname,HIGH,INF,Fr,1172
2305908361,BRIA,SEWELL,Bria Sewell,Delaware State University,Mid-Eastern Athletic Conf.,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1251,117906,3093425,Bria Sewell,100.0,team+lastname,HIGH,RF,So,1251
2411454905,SAMANTHA,STEVENSON,Samantha Stevenson,Norfolk State University,Mid-Eastern Athletic Conf.,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1372,143819,3234206,Samantha Stevenson,100.0,team+lastname,HIGH,P,Fr,1372
2310126452,CARA,EDWARDS,Cara Edwards,Boston University,Patriot League,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1099,116167,3088282,Cara Edwards,100.0,team+lastname,HIGH,C,So,1099
2302776148,LEXI,JOHNSON,Lexi Johnson,University of Toledo,Mid-American Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1121,145558,3222842,Lexi Johnson,100.0,team+lastname,HIGH,P,Fr,1121
2208647401,ISABELLA,HURST,Isabella Hurst,St. Thomas Aquinas College,East Coast Conference,II,06/08/2026,06/08/2026,Active,2025-26,Softball,1502,145247,3249231,Isabella Hurst,100.0,team+lastname,HIGH,RF,Fr,1502
2206586989,MEGAN,KLEIN,Megan Klein,Siena University,Metro Atlantic Athletic Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1264,107996,3084576,Megan Klein,100.0,team+lastname,HIGH,RF,So,1264
2006880045,JASMYN,YESSIAN,Jasmyn Yessian,North Dakota State University,The Summit League,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1350,87675,2944683,Jasmyn Yessian,100.0,team+lastname,HIGH,C,Jr,1350
2209667523,NATALIA,KENYATTA,Natalia Kenyatta,Michigan State University,Big Ten Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1320,118169,3085377,Natalia Kenyatta,100.0,team+lastname,HIGH,3B,So,1320
2109327401,SOFIA,KING,Sofia King,Missouri State University,Conference USA,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1296,98005,2954776,Sofia King,100.0,team+lastname,HIGH,LF,Jr,1296
2011963184,JAEDEN,BURNHAM,Jaeden Burnham,University of Texas at San Antonio,American Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1374,145515,3237243,Jaeden Burnham,100.0,team+lastname,HIGH,C,Jr,1374
2109321926,MAKAYLA,VALLE,Makayla Valle,Abilene Christian University,Western Athletic Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1183,93440,2953849,Makayla Valle,100.0,team+lastname,HIGH,P,Jr,1183
2110342299,HANNAH,DAVILA,Hannah Davila,University of North Florida,Atlantic Sun Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1255,86633,2945548,Hannah Davila,100.0,team+lastname,HIGH,3B,Jr,1255
