ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id,hitting_sum,pitching_sum,has_hitting,has_pitching,hitting_sum_f,pitching_sum_f,hitting_rank,pitching_rank,stat_percentile,twp,conf_adjust,hs_adjust,mlb_adjust,fielding_rank,prod_term,sixty_four_rating_portal_player,portal_rank
1906588746,GRACE,SPENCER,Grace Spencer,Ball State University,Mid-American Conference,I,05/04/2026,05/04/2026,Active,2025-26,Softball,1228,86082,2829341,Grace Spencer,100.0,team+lastname,HIGH,LF,Sr,1228,0.676687,0.0,True,False,0.676687,0.0,0.7187,0.0,0.7187,0.0,0.10161,0.0,0.0,0.0,0.15845,0.9788,471
2508690858,BROOKE,STEINHORST,Brooke Steinhorst,Loyola University Chicago,Atlantic 10 Conference,I,06/08/2026,07/18/2026,Signed,2025-26,Softball,1294,142904,3232766,Brooke Steinhorst,100.0,team+lastname,HIGH,P,Jr,1294,0.022053,1.173851,True,True,0.022053,1.173851,0.0808,0.7554,0.7554,0.00808,0.106449,0.0,0.0,0.0,0.1088,0.9787,472
2301764776,CLAIRE,RADFORD,Claire Radford,University of South Carolina Aiken,Peach Belt Conference,II,05/18/2026,05/22/2026,Active,2025-26,Softball,1505,144861,3220976,Claire Radford,100.0,team+lastname,HIGH,P,Fr,1505,0.00477,0.947278,True,True,0.00477,0.947278,0.0226,0.6738,0.6738,0.00226,0.065318,0.0,0.0,0.0,0.234,0.9754,473
2407362586,CIANA,ARGUIJO,Ciana Arguijo,Abilene Christian University,Western Athletic Conference,I,06/08/2026,07/10/2026,Signed,2025-26,Softball,1183,139785,3151476,Ciana Arguijo,100.0,team+lastname,HIGH,LF,Fr,1183,0.507296,0.0,True,False,0.507296,0.0,0.6338,0.0,0.6338,0.0,0.128224,0.0,0.0,0.0,0.2126,0.9746,474
2208628299,MAGGIE,OUTLAW,Maggie Outlaw,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,I,06/08/2026,06/27/2026,Signed,2025-26,Softball,1088,106789,3085943,Reece Outlaw,48.0,team+lastname_diff_first+confirmed,HIGH,SS,So,1088,0.53857,0.0,True,False,0.53857,0.0,0.6508,0.0,0.6508,0.0,0.185161,0.0,0.0,0.0,0.13615,0.9721,475
1905569143,IZABELLA,VALDEZ,Izabella Valdez,St. Mary's University (Texas),Lone Star Conference,II,05/18/2026,06/25/2026,Signed,2025-26,Softball,1482,106049,3097841,Izabella Valdez,100.0,team+lastname,HIGH,C,So,1482,0.775237,0.0,True,False,0.775237,0.0,0.7559,0.0,0.7559,0.0,0.055639,0.0,0.0,0.0,0.160388,0.9719,476
2112397566,KAYLEIGH,BOWERS,Kayleigh Bowers,Midwestern State University,Lone Star Conference,II,05/13/2026,07/14/2026,Signed,2025-26,Softball,1643,90010,2955476,Kayleigh Bowers,100.0,team+lastname,HIGH,P,Jr,1643,0.0,1.476151,False,True,0.0,1.476151,0.0,0.8519,0.8519,0.0,0.055639,0.0,0.0,0.0,0.063825,0.9714,477
2206586989,MEGAN,KLEIN,Megan Klein,Siena University,Metro Atlantic Athletic Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1264,107996,3084576,Megan Klein,100.0,team+lastname,HIGH,RF,So,1264,0.668611,0.0,True,False,0.668611,0.0,0.7154,0.0,0.7154,0.0,0.084674,0.0,0.0,0.0,0.17045,0.9705,478
2303815874,KENNEDY,TEMPLES,Kennedy Temples,Stetson University,Atlantic Sun Conference,I,06/08/2026,07/01/2026,Signed,2025-26,Softball,1325,106984,3092287,Kennedy Temples,100.0,team+lastname,HIGH,P,So,1325,0.0,1.168062,False,True,0.0,1.168062,0.0,0.7532,0.7532,0.0,0.10403,0.0,0.0,0.0,0.11255,0.9698,479
2306935932,HALEY,SAOLE,Haley Saole,"University of California, Riverside",Big West Conference,I,06/08/2026,07/16/2026,Active,2025-26,Softball,1236,107425,3093564,Haley Saole,100.0,team+lastname,HIGH,1B,So,1236,0.784718,0.0,True,False,0.784718,0.0,0.7591,0.0,0.7591,0.0,0.118546,0.0,0.0,0.0,0.0921,0.9697,480
2207613814,ASHTYN,REICHARDT,Ashtyn Reichardt,"University of Arkansas, Fayetteville",Southeastern Conference,I,06/08/2026,06/27/2026,Signed,2025-26,Softball,1195,140004,3084982,Ashtyn Reichardt,100.0,team+lastname,HIGH,RF,Fr,1195,0.43386,0.0,True,False,0.43386,0.0,0.5998,0.0,0.5998,0.0,0.18758,0.094,0.086,0.0,0.0,0.9674,481
