ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id
2210710109,JOSEPH,ZITO,Joseph Zito,Towson University,Coastal Athletic Association,I,12/01/2025,03/30/2026,Matriculated,2025-26,Baseball,793,67685,2956289,Joey Zito,92.0,team+lastname,MEDIUM,P,,793
2603856078,LUKE,FAHEY,Luke Fahey,Dean College,Great Northeast Athletic Conference,III,03/30/2026,03/30/2026,Active,2025-26,Baseball,202,77236,2978935,Luke Fahey,100.0,team+lastname,HIGH,LF,Sr,202
1903438683,WILLIAM,JAUN,William Jaun,Johns Hopkins University,Centennial Conference,III,03/26/2026,03/27/2026,Active,2025-26,Baseball,362,39073,2679902,William Jaun,100.0,team+lastname,HIGH,1B,Sr,362
2603855941,PETER,MULLEN,Peter Mullen,Franklin & Marshall College,Centennial Conference,III,03/27/2026,03/27/2026,Active,2025-26,Baseball,276,54013,2798106,Peter Mullen,100.0,team+lastname,HIGH,P,Sr,276
1812377491,CHARLIE,CHROPUVKA,Charlie Chropuvka,Lafayette College,Patriot League,I,03/25/2026,03/26/2026,Active,2025-26,Baseball,384,52963,2821567,Charlie Chropuvka,100.0,team+fullname,HIGH,DH,Sr,384
2308983762,PETER,GIMINO,Peter Gimino,Texas Christian University,Big 12 Conference,I,03/26/2026,03/26/2026,Active,2025-26,Baseball,775,126680,,Peter Gimino,100.0,team+lastname,HIGH,C,,775
2603855013,COLIN,LESLIE,Colin Leslie,The College of Wooster,North Coast Athletic Conference,III,03/26/2026,03/26/2026,Active,2025-26,Baseball,933,63307,2802896,Colin Leslie,100.0,team+lastname,HIGH,C,Sr,933
2207621219,MASON,CHANEY,Mason Chaney,West Liberty University,Mountain East Conference,II,03/25/2026,03/26/2026,Active,2025-26,Baseball,885,108745,3111347,Mason Chaney,100.0,team+lastname,HIGH,P,So,885
2101988879,EVAN,BILTER,Evan Bilter,Colorado School of Mines,Rocky Mountain Athletic Conference,II,03/25/2026,03/25/2026,Active,2025-26,Baseball,171,52489,2804543,Evan Bilter,100.0,team+lastname,HIGH,3B,Jr,171
2105178340,DAVID,FINCH,David Finch,Stevens Institute of Technology,Middle Atlantic Conference Freedom,III,03/25/2026,03/25/2026,Active,2025-26,Baseball,757,66726,2966340,David Finch,100.0,team+lastname,HIGH,P,Jr,757
2406322701,REID,WITHERS,Reid Withers,Mars Hill University,South Atlantic Conference,II,03/24/2026,03/25/2026,Active,2025-26,Baseball,439,103541,3104348,Reid Withers,100.0,team+lastname,HIGH,P,Sr,439
2005862211,MATTHEW,RHEAUME,Matthew Rheaume,Rice University,American Conference,I,12/02/2025,03/24/2026,Matriculated,2025-26,Baseball,643,68380,2955236,Matthew Rheaume,100.0,broad_lastresort,HIGH,P,Sr,338
2101987945,CONNOR,VIOLA,Connor Viola,Eastern University,Middle Atlantic Conference Commonwealth,III,03/24/2026,03/24/2026,Active,2025-26,Baseball,231,53280,2800711,Connor Viola,100.0,broad_lastresort,HIGH,P,Sr,225
2112390553,CHARLES,LYONS,Charles Lyons,Post University,Central Atlantic Collegiate Conference,II,03/23/2026,03/24/2026,Active,2025-26,Baseball,620,135400,3205825,Charles Lyons,100.0,team+lastname,HIGH,P,Fr,620
2411455553,THOMAS,MARTENS,Thomas Martens,Mars Hill University,South Atlantic Conference,II,03/24/2026,03/24/2026,Active,2025-26,Baseball,439,29181,2516151,Thomas Marten,96.3,broad_lastresort,HIGH,DH,,755
2212744835,LOGAN,GRUBER,Logan Gruber,Belhaven University,Collegiate Conference of the South,III,03/23/2026,03/23/2026,Active,2025-26,Baseball,63,127779,3233433,Logan Gruber,100.0,team+lastname,HIGH,P,Fr,63
2310143489,LOGAN,JAMROSZ,Logan Jamrosz,William Peace University,USA South Athletic Conference,III,03/23/2026,03/23/2026,Active,2025-26,Baseball,912,103568,3097338,Logan Jamrosz,100.0,team+lastname,HIGH,P,Sr,912
2103131344,DANIEL,TOVAR,Daniel Tovar,Northern Kentucky University,Horizon League,I,03/22/2026,03/22/2026,Active,2025-26,Baseball,554,117275,3100770,Daniel Tovar,100.0,team+lastname,HIGH,P,Jr,554
2603848179,ASHTON,BULTRON,Ashton Bultron,Belhaven University,Collegiate Conference of the South,III,03/19/2026,03/19/2026,Active,2025-26,Baseball,63,127772,3233446,Ashton Bultron,100.0,team+lastname,HIGH,P,Fr,63
2208632062,AIDAN,VANRIDER,Aidan Vanrider,William Peace University,USA South Athletic Conference,III,03/19/2026,03/19/2026,Active,2025-26,Baseball,912,138714,3229286,Aidan VanRider,100.0,team+lastname,HIGH,P,Sr,912
2105180509,GARRISON,BULLOCK,Garrison Bullock,Bucknell University,Patriot League,I,03/18/2026,03/18/2026,Active,2025-26,Baseball,98,53520,2813873,Garrison Bullock,100.0,team+lastname,HIGH,C,Jr,98
2311168657,JAKE,SEIBERT,Jake Seibert,Delaware Valley University,Middle Atlantic Conference Freedom|Middle Atlantic Conferences,III,03/18/2026,03/18/2026,Active,2025-26,Baseball|Football,206,122945,3125372,Jake Seibert,100.0,team+lastname,HIGH,3B,So,206
2510741679,ANTHONY,PASS,Anthony Pass,Washington and Jefferson College,Presidents' Athletic Conference,III,10/08/2025,03/18/2026,Active,2025-26,Baseball,867,62404,2799299,Anthony Pass,100.0,team+lastname,HIGH,P,Sr,867
2603842061,TATE,REILLY,Tate Reilly,Albertus Magnus College,Great Northeast Athletic Conference,III,03/17/2026,03/17/2026,Active,2025-26,Baseball,13,77226,2976099,Tate Reilly,100.0,team+lastname,HIGH,RF,,13
2601808266,JACOB,HARRIS,Jacob Harris,Johns Hopkins University,Centennial Conference,III,01/23/2026,03/14/2026,Active,2025-26,Baseball,362,55223,2831848,Jacob Harris,100.0,team+lastname,HIGH,2B,Sr,362
2112395212,BRYCE,RONKEN,Bryce Ronken,Augustana University (South Dakota),Northern Sun Intercollegiate Conference,II,03/12/2026,03/13/2026,Active,2025-26,Baseball,47,68680,2947909,Bryce Ronken,100.0,broad_lastresort,HIGH,RF,,711
2401203551,GAVIN,COLLINS,Gavin Collins,University of Wisconsin-Parkside,Great Lakes Intercollegiate Athletic Conference,II,03/11/2026,03/11/2026,Active,2025-26,Baseball,924,138807,3239664,Gavin Collins,100.0,team+fullname,HIGH,C,Fr,924
2305904115,KYLE,MARTIN,Kyle Martin,Western Connecticut State University,Little East Conference,III,02/26/2026,03/10/2026,Active,2025-26,Baseball,890,125967,3123036,Kyle Martin,100.0,team+fullname,HIGH,P,So,890
1910708404,HUNTER,SMITH,Hunter Smith,Bentley University,Northeast 10 Conference,II,03/09/2026,03/10/2026,Active,2025-26,Baseball,71,51137,2830327,Hunter Smith,100.0,team+lastname,HIGH,CF,Sr,71
2304845215,WILLIAM,FLEMING,William Fleming,Transylvania University,Heartland Collegiate Athletic Conference,III,03/09/2026,03/09/2026,Active,2025-26,Baseball,794,33420,1976543,William Fleming,100.0,broad_lastresort,HIGH,P,,864
2112402603,JACKSON,GRANT,Jackson Grant,Erskine College,Conference Carolinas,II,03/09/2026,03/09/2026,Active,2025-26,Baseball,247,104735,3099422,Jackson Grant,100.0,team+lastname,HIGH,P,,247
2407368335,LUCA,LAURENCE,Luca Laurence,Mitchell College,Great Northeast Athletic Conference,III,12/08/2025,03/06/2026,Active,2025-26,Baseball,495,126343,3120221,Luca Laurence,100.0,team+lastname,HIGH,OF,Sr,495
2307958357,JOSHUA,MORENO,Joshua Moreno,Georgian Court University,Central Atlantic Collegiate Conference,II,03/06/2026,03/06/2026,Active,2025-26,Baseball,2240,120703,3092919,Joshua Moreno,100.0,team+lastname,HIGH,DH,So,2240
2108301145,AMMAN,DEWBERRY,Amman Dewberry,Presbyterian College,Big South Conference,I,03/04/2026,03/05/2026,Active,2025-26,Baseball,622,58964,2805907,Amman Dewberry,100.0,team+lastname,HIGH,RF,Jr,622
2109327334,KYLE,MUELLER,Kyle Mueller,Presbyterian College,Big South Conference,I,03/04/2026,03/05/2026,Active,2025-26,Baseball,622,58971,2805903,Kyle Mueller,100.0,team+lastname,HIGH,P,Sr,622
2109311991,BRAYDEN,MURUA,Brayden Murua,Hawaii Pacific University,Pacific West Conference,II,03/05/2026,03/05/2026,Active,2025-26,Baseball,322,131318,3228682,Brayden Murua,100.0,team+lastname,HIGH,2B,Jr,322
2411460647,COLE,MEFFLEY,Cole Meffley,Chestnut Hill College,Central Atlantic Collegiate Conference,II,03/05/2026,03/05/2026,Active,2025-26,Baseball,147,129013,3248139,Cole Meffley,100.0,team+lastname,HIGH,C,Fr,147
2210685834,JAMES,FAHAN,James Fahan,Quinnipiac University,Metro Atlantic Athletic Conference,I,03/04/2026,03/05/2026,Active,2025-26,Baseball,633,68651,2960321,James Fahan,100.0,team+lastname,HIGH,P,,633
2110356142,MICHAEL,GATTI,Michael Gatti,University of New Haven,Northeast Conference,I,12/01/2025,03/04/2026,Signed,2025-26,Baseball,529,57630,2825616,Michael Gatti,100.0,team+lastname,HIGH,P,Sr,529
2105181068,PATRICK,RIENDEAU,Patrick Riendeau,DePauw University,North Coast Athletic Conference,III,03/04/2026,03/04/2026,Active,2025-26,Baseball,209,53045,2829664,Pearse Riendeau,77.4,team+lastname_diff_first+confirmed,HIGH,P,Sr,209
2602832215,LUCAS,ORLOVITZ,Lucas Orlovitz,Ithaca College,Liberty League,III,02/25/2026,03/03/2026,Active,2025-26,Baseball,354,55123,2833215,Lucas Orlovitz,100.0,team+lastname,HIGH,3B,Sr,354
2311160701,JAKE,LANCASTER,Jake Lancaster,University of Dallas,Southern Collegiate Athletic Conference,III,03/03/2026,03/03/2026,Active,2025-26,Baseball,195,129635,3226155,Jake Lancaster,100.0,team+lastname,HIGH,P,Fr,195
2302777805,STEVEN,KLEIN,Steven Klein,Saint Michael's College,Northeast 10 Conference,II,02/27/2026,02/27/2026,Active,2025-26,Baseball,674,102916,3086209,Steven Klein,100.0,team+lastname,HIGH,C,So,674
2101983887,HARRISON,BLUEWEISS,Harrison Blueweiss,New York University,University Athletic Association,III,02/27/2026,02/27/2026,Active,2025-26,Baseball,568,58197,2804051,Harrison Blueweiss,100.0,team+lastname,HIGH,CF,Sr,568
2110362351,CAMERON,GREENWAY,Cameron Greenway,High Point University,Big South Conference,I,12/01/2025,02/26/2026,Matriculated,2025-26,Baseball,326,127728,3238309,Cameron Greenway,100.0,broad_lastresort,HIGH,3B,Jr,59
2411452519,JACOB,PUTNAM,Jacob Putnam,Saint Anselm College,Northeast 10 Conference,II,09/30/2025,02/26/2026,Matriculated,2025-26,Baseball,735,129259,3243168,Jacob Putnam,100.0,broad_lastresort,HIGH,SS,Fr,169
2310132155,JACKSON,RIVERS,Jackson Rivers,Erskine College,Conference Carolinas,II,11/04/2025,02/26/2026,Matriculated,2025-26,Baseball,247,104540,3106388,Jackson Rivers,100.0,broad_lastresort,HIGH,P,So,59
