source,gameId,sport,division,date,team,opponent
pbp_gap,6525817,softball,D2,,,
pbp_gap,6525861,softball,D2,,,
pbp_gap,6525862,softball,D2,,,
pbp_gap,6525955,softball,D2,,,
pbp_gap,6525956,softball,D2,,,
pbp_gap,6526222,softball,D2,,,
pbp_gap,6526223,softball,D2,,,
pbp_gap,6526240,softball,D2,,,
pbp_gap,6526483,softball,D2,,,
pbp_gap,6526492,softball,D2,,,
pbp_gap,6526554,softball,D2,,,
pbp_gap,6526557,softball,D2,,,
pbp_gap,6526574,softball,D2,,,
pbp_gap,6526577,softball,D2,,,
pbp_gap,6526687,softball,D2,,,
pbp_gap,6527617,softball,D2,,,
pbp_gap,6527619,softball,D2,,,
pbp_gap,6527704,softball,D2,,,
pbp_gap,6527706,softball,D2,,,
pbp_gap,6527793,softball,D2,,,
pbp_gap,6527796,softball,D2,,,
pbp_gap,6528394,softball,D2,,,
pbp_gap,6528397,softball,D2,,,
pbp_gap,6528879,softball,D2,,,
pbp_gap,6528881,softball,D2,,,
pbp_gap,6529095,softball,D2,,,
pbp_gap,6529098,softball,D2,,,
pbp_gap,6529123,softball,D2,,,
pbp_gap,6529128,softball,D2,,,
pbp_gap,6530285,softball,D2,,,
pbp_gap,6530286,softball,D2,,,
pbp_gap,6530444,softball,D2,,,
pbp_gap,6530445,softball,D2,,,
pbp_gap,6530815,softball,D2,,,
pbp_gap,6530824,softball,D2,,,
pbp_gap,6531335,softball,D2,,,
pbp_gap,6531337,softball,D2,,,
pbp_gap,6531582,softball,D2,,,
pbp_gap,6531586,softball,D2,,,
pbp_gap,6531780,softball,D2,,,
pbp_gap,6531929,softball,D2,,,
pbp_gap,6531930,softball,D2,,,
pbp_gap,6532687,softball,D2,,,
pbp_gap,6532690,softball,D2,,,
pbp_gap,6534060,softball,D2,,,
pbp_gap,6534067,softball,D2,,,
pbp_gap,6535652,softball,D2,,,
pbp_gap,6535653,softball,D2,,,
pbp_gap,6536541,softball,D2,,,
pbp_gap,6536548,softball,D2,,,
pbp_gap,6538049,softball,D2,,,
pbp_gap,6538052,softball,D2,,,
pbp_gap,6541148,softball,D2,,,
pbp_gap,6541149,softball,D2,,,
pbp_gap,6541574,softball,D2,,,
pbp_gap,6541577,softball,D2,,,
pbp_gap,6549825,softball,D2,,,
pbp_gap,6549826,softball,D2,,,
pbp_gap,6550100,softball,D2,,,
pbp_gap,6550101,softball,D2,,,
pbp_gap,6562754,softball,D2,,,
pbp_gap,6566332,softball,D2,,,
pbp_gap,6566333,softball,D2,,,
pbp_gap,6566397,softball,D2,,,
pbp_gap,6566398,softball,D2,,,
pbp_gap,6566802,softball,D2,,,
pbp_gap,6566803,softball,D2,,,
pbp_gap,6566828,softball,D2,,,
pbp_gap,6566830,softball,D2,,,
pbp_gap,6566840,softball,D2,,,
pbp_gap,6566871,softball,D2,,,
pbp_gap,6566901,softball,D2,,,
pbp_gap,6566943,softball,D2,,,
pbp_gap,6567173,softball,D2,,,
pbp_gap,6567177,softball,D2,,,
pbp_gap,6568759,softball,D2,,,
pbp_gap,6568760,softball,D2,,,
pbp_gap,6572557,softball,D2,,,
pbp_gap,6572576,softball,D2,,,
pbp_gap,6573192,softball,D2,,,
pbp_gap,6573379,softball,D2,,,
pbp_gap,6491510,softball,D3,,,
pbp_gap,6492074,softball,D3,,,
pbp_gap,6492463,softball,D3,,,
pbp_gap,6492607,softball,D3,,,
pbp_gap,6492611,softball,D3,,,
pbp_gap,6495171,softball,D3,,,
pbp_gap,6495173,softball,D3,,,
pbp_gap,6495451,softball,D3,,,
pbp_gap,6495580,softball,D3,,,
pbp_gap,6495687,softball,D3,,,
pbp_gap,6495689,softball,D3,,,
pbp_gap,6496060,softball,D3,,,
pbp_gap,6496061,softball,D3,,,
pbp_gap,6497857,softball,D3,,,
pbp_gap,6497859,softball,D3,,,
pbp_gap,6499313,softball,D3,,,
pbp_gap,6499521,softball,D3,,,
pbp_gap,6501540,softball,D3,,,
pbp_gap,6502807,softball,D3,,,
pbp_gap,6503382,softball,D3,,,
pbp_gap,6504067,softball,D3,,,
pbp_gap,6504069,softball,D3,,,
pbp_gap,6504459,softball,D3,,,
pbp_gap,6504968,softball,D3,,,
pbp_gap,6504969,softball,D3,,,
pbp_gap,6504978,softball,D3,,,
pbp_gap,6504982,softball,D3,,,
pbp_gap,6505447,softball,D3,,,
pbp_gap,6506096,softball,D3,,,
pbp_gap,6506097,softball,D3,,,
pbp_gap,6506729,softball,D3,,,
pbp_gap,6506745,softball,D3,,,
pbp_gap,6508604,softball,D3,,,
pbp_gap,6508605,softball,D3,,,
pbp_gap,6509456,softball,D3,,,
pbp_gap,6509459,softball,D3,,,
pbp_gap,6510220,softball,D3,,,
pbp_gap,6510544,softball,D3,,,
pbp_gap,6510547,softball,D3,,,
pbp_gap,6511268,softball,D3,,,
pbp_gap,6511271,softball,D3,,,
pbp_gap,6511862,softball,D3,,,
pbp_gap,6511871,softball,D3,,,
pbp_gap,6511903,softball,D3,,,
pbp_gap,6511904,softball,D3,,,
pbp_gap,6513655,softball,D3,,,
pbp_gap,6513656,softball,D3,,,
pbp_gap,6516781,softball,D3,,,
pbp_gap,6516782,softball,D3,,,
pbp_gap,6518005,softball,D3,,,
pbp_gap,6518006,softball,D3,,,
pbp_gap,6518223,softball,D3,,,
pbp_gap,6518226,softball,D3,,,
pbp_gap,6519392,softball,D3,,,
pbp_gap,6522098,softball,D3,,,
pbp_gap,6522102,softball,D3,,,
pbp_gap,6522159,softball,D3,,,
pbp_gap,6522161,softball,D3,,,
pbp_gap,6522623,softball,D3,,,
pbp_gap,6522624,softball,D3,,,
pbp_gap,6523168,softball,D3,,,
pbp_gap,6523169,softball,D3,,,
pbp_gap,6525212,softball,D3,,,
pbp_gap,6525216,softball,D3,,,
pbp_gap,6525915,softball,D3,,,
pbp_gap,6526497,softball,D3,,,
pbp_gap,6526501,softball,D3,,,
pbp_gap,6527008,softball,D3,,,
pbp_gap,6527012,softball,D3,,,
