sport,division,team,date,opponent,result,runsFor,runsAgainst,teamYearId,opponentYearId
baseball,unknown,Concord,2026-04-04,Davis & Elkins,W 11-9,11.0,9.0,615111,615028.0
baseball,unknown,Concordia (TX),2026-02-24,Southwestern (TX),W 12-7,12.0,7.0,615487,615466.0
baseball,unknown,Concordia (TX),2026-04-02,Mary Hardin-Baylor,W 6-3,6.0,3.0,615487,615436.0
baseball,unknown,Concordia Chicago,2026-02-20,Rhodes,L 7-11,7.0,11.0,615187,615327.0
baseball,unknown,Concordia Chicago,2026-02-22,"Franklin @Memphis, TN",L 12-13,12.0,13.0,615187,615453.0
baseball,unknown,Concordia Chicago,2026-03-19,Wheaton (IL),W 4-1,4.0,1.0,615187,615387.0
baseball,unknown,Concordia Chicago,2026-04-04,St. Norbert,W 8-7,8.0,7.0,615187,615343.0
baseball,unknown,Concordia Chicago,2026-04-04,St. Norbert,W 9-2,9.0,2.0,615187,615343.0
baseball,unknown,Concordia Wisconsin,2026-03-12,"Grinnell @Pensacola, FL",W 8-6,8.0,6.0,615416,615216.0
baseball,unknown,Concordia Wisconsin,2026-04-04,Rockford,W 10-4,10.0,4.0,615416,615332.0
baseball,unknown,Concordia Wisconsin,2026-04-04,Rockford,W 4-3,4.0,3.0,615416,615332.0
baseball,D1,Coppin St.,2026-04-02,Norfolk St.,L 6-7 (10),6.0,7.0,614588,614687.0
baseball,unknown,Cornell College,2026-04-04,Knox,L 5-10,5.0,10.0,615189,615243.0
baseball,unknown,Cornell College,2026-04-04,Knox,W 9-8,9.0,8.0,615189,615243.0
baseball,unknown,Cortland,2026-04-04,SUNY Canton,W 21-2,21.0,2.0,615190,615133.0
baseball,unknown,Cortland,2026-04-04,SUNY Canton,W 11-7,11.0,7.0,615190,615133.0
baseball,unknown,Covenant,2026-04-04,Belhaven,W 9-7,9.0,7.0,615129,615268.0
baseball,unknown,Covenant,2026-04-17,Maryville (TN),W 9-3,9.0,3.0,615129,615256.0
baseball,D1,Creighton,2026-04-02,UConn,W 3-1,3.0,1.0,614590,614587.0
baseball,D1,Creighton,2026-04-11,Seton Hall,W 9-1,9.0,1.0,614590,614735.0
baseball,unknown,Curry,2026-04-04,Suffolk,W 4-1,4.0,1.0,615191,615359.0
baseball,unknown,Curry,2026-04-04,Suffolk,W 6-5,6.0,5.0,615191,615359.0
baseball,unknown,Curry,2026-04-12,Salve Regina,L 5-15,5.0,15.0,615191,615348.0
baseball,unknown,Curry,2026-04-15,Framingham St.,L 7-8,7.0,8.0,615191,615210.0
baseball,unknown,DBU,2026-02-24,UT Arlington,W 6-1,6.0,1.0,614764,614792.0
baseball,unknown,DBU,2026-04-02,Kennesaw St.,W 10-5,10.0,5.0,614764,614831.0
baseball,unknown,Dallas,2026-03-17,Howard Payne,W 17-10,17.0,10.0,615417,615455.0
baseball,unknown,Dallas,2026-04-02,Hendrix,L 3-8,3.0,8.0,615417,615425.0
baseball,unknown,Davis & Elkins,2026-03-01,"Minn.-Crookston @Winter Haven, FL",L 1-19,1.0,19.0,615028,614948.0
baseball,unknown,Davis & Elkins,2026-03-02,Roosevelt,L 3-9,3.0,9.0,615028,615119.0
baseball,unknown,Davis & Elkins,2026-03-21,West Liberty,L 0-2 (8),0.0,2.0,615028,614905.0
baseball,unknown,Davis & Elkins,2026-03-21,West Liberty,W 9-8,9.0,8.0,615028,614905.0
baseball,unknown,Davis & Elkins,2026-03-22,Wheeling,L 3-12,3.0,12.0,615028,614938.0
baseball,unknown,Davis & Elkins,2026-03-22,Wheeling,L 2-7,2.0,7.0,615028,614938.0
baseball,unknown,Davis & Elkins,2026-03-24,West Va. Tech,L 2-3,2.0,3.0,615028,
baseball,unknown,Davis & Elkins,2026-03-24,West Va. Tech,L 2-13,2.0,13.0,615028,
baseball,unknown,Davis & Elkins,2026-04-04,Concord,L 3-12,3.0,12.0,615028,615111.0
baseball,unknown,Davis & Elkins,2026-04-04,Concord,L 9-11,9.0,11.0,615028,615111.0
baseball,unknown,Davis & Elkins,2026-04-14,West Va. Tech,L 3-9,3.0,9.0,615028,
baseball,unknown,Davis & Elkins,2026-04-14,West Va. Tech,L 7-8,7.0,8.0,615028,
baseball,unknown,DePauw,2026-02-27,Rhodes,W 7-5,7.0,5.0,615192,615327.0
baseball,unknown,DePauw,2026-02-28,"Ill. Wesleyan @Memphis, TN",W 12-5,12.0,5.0,615192,615230.0
baseball,unknown,DePauw,2026-03-01,Rhodes,L 0-6,0.0,6.0,615192,615327.0
baseball,unknown,DePauw,2026-04-04,Wooster,W 10-6,10.0,6.0,615192,615404.0
baseball,unknown,DePauw,2026-04-04,Wooster,W 18-12,18.0,12.0,615192,615404.0
