player_name,player_id,player_ncaa_season_id,team_id,games_played,home_runs,boxscore_hr,delta
Brayden Clark,71528,9682541.0,791,37,8,6,2
Michael Patellis,115413,9690837.0,791,36,7,5,2
Luke Kruer,119235,9687021.0,463,22,10,8,2
Tyler Shigenaka,103123,9677342.0,956,39,5,3,2
Skyler Fields,131571,11243127.0,339,11,2,0,2
Davis Wagner,104943,11242484.0,275,27,3,1,2
Luka Gilliam,116971,11229272.0,857,22,2,0,2
Josh Dezenzo,62398,9677190.0,867,28,8,6,2
Ryan Hartz,102756,9683553.0,877,32,3,1,2
Reid Hietpas,102670,9694185.0,877,28,6,4,2
Nick Wrubluski,102453,9686955.0,877,28,6,4,2
Daniel Donaldson-Fountain,130148,11237443.0,234,37,11,9,2
Noah Loveall,130671,11242486.0,275,23,8,6,2
Jaliyah Grigsby,139829,11219022.0,1295,27,5,3,2
Avery Fisher,105097,9662847.0,1381,35,8,6,2
K. Mills,122071,9693881.0,346,29,6,4,2
Thomas Curry,102970,9700019.0,817,34,4,2,2
Anthony Tetto,129831,11246372.0,214,24,3,1,2
Drew Mistele,100874,9682264.0,926,19,4,2,2
Spencer Shipman,71999,11237922.0,905,21,10,8,2
Jason Smith,62982,9702914.0,909,22,3,1,2
Brayden Knoll,138845,11244987.0,925,24,7,5,2
Ashlyn Short,149772,11330947.0,1877,12,1,0,1
Chloe Geijer,83269,9659709.0,1122,38,1,0,1
Jenna Krol,107515,9670436.0,1122,45,1,0,1
Katelin Keller,141401,11225270.0,1586,38,1,0,1
Riley Martens,124932,9659696.0,1345,37,1,0,1
Ava Rodriguez,81234,9670539.0,1649,31,2,1,1
Piper Morgan,141443,11237530.0,1649,27,4,3,1
Sophia Olman,98099,9663824.0,1147,39,5,4,1
Abbi Hatton,107546,9669743.0,1147,43,4,3,1
Ana Oquita,141473,11215876.0,1431,24,3,2,1
Jordan Rivera,88396,9659582.0,1431,18,2,1,1
Emily Marsh,105387,9662960.0,1431,37,5,4,1
Mary Moss Wirt,93890,9664097.0,1239,36,1,0,1
Emely Rodriguez,84537,9663722.0,1871,26,2,1,1
Hannah Booth,122236,9669618.0,2053,44,10,9,1
Brooke Flewelling,82121,9655095.0,1427,37,14,13,1
Gabby Burroughs,85611,9656399.0,1563,38,8,7,1
Catherine Seay,150070,11332553.0,1927,19,1,0,1
Bre Dixon,81777,9655782.0,1822,19,4,3,1
Emma Paul,118922,9667948.0,1420,32,4,3,1
Xztashya Porter,99504,9659018.0,1531,28,3,2,1
Sydney Jackson,98381,9665794.0,1531,24,8,7,1
Tiara Stueck,105806,11242893.0,1531,27,4,3,1
Kimberly Torres,105461,9657551.0,1577,34,8,7,1
Mikayla Brown,94623,9663555.0,1577,32,1,0,1
Karina De La Vega,141662,11243776.0,1577,33,4,3,1
Annika Smith,80598,11243781.0,1577,12,1,0,1
Jadyn Joseph,87439,9660840.0,1553,36,2,1,1
Alexis Kozlowski,79382,9662991.0,1553,39,4,3,1
Jayden Marlatt,105469,9663930.0,1553,39,2,1,1
Joslynne Frazier,88543,9670755.0,1448,34,7,6,1
Ciara Maple,115510,9670459.0,1115,12,1,0,1
Makayla Register,93430,11244429.0,1115,35,3,2,1
Gigi Polanco,141796,11220996.0,1619,33,1,0,1
Hannah Lewis,141794,11220990.0,1619,32,1,0,1
Isa Torres,87082,9656256.0,1094,35,10,9,1
Jaysoni Beachum,87787,9661700.0,1094,43,7,6,1
Anna Hinde,141809,11224559.0,1094,42,6,5,1
Carmen Alexander,141826,11217451.0,1487,35,7,6,1
Marley Quammie,108824,11212305.0,1476,39,1,0,1
Zarayna Anderson,141834,11212298.0,1476,16,1,0,1
McKenzie Jewell,141850,11222894.0,1426,46,8,7,1
Kate DelGrippo,123365,9668629.0,1996,19,5,4,1
Delaney Duford,124409,9659587.0,1455,32,5,4,1
Madison Lowe,93097,9661843.0,2014,16,2,1,1
Izabella Donaldson,118425,9658861.0,1438,32,6,5,1
Justine Robbins,88756,9657418.0,1786,28,1,0,1
Emily Benavidez,84599,9661524.0,1916,25,2,1,1
Maddie Todd,92723,9655844.0,1418,38,1,0,1
Stephanie Condland,98216,9666033.0,1418,29,4,3,1
Emma Simon,107586,9670599.0,1116,49,4,3,1
Gracie King,141963,11229333.0,1116,28,2,1,1
Kendall Huelsman,90326,9662027.0,1421,41,6,5,1
Lani Dansby,141972,11237608.0,1421,40,1,0,1
Chloe Hatcher,83273,9668620.0,1332,43,8,7,1
Zailees Seda,99533,9663883.0,1539,38,1,0,1
Delaney Warnick,83940,9657270.0,1539,38,4,3,1
Caitlin Olafsson,82429,9663695.0,2054,22,2,1,1
Zoey Neal,99626,11210117.0,1450,38,6,5,1
Maryn Jordan,93909,9656206.0,1093,35,1,0,1
Kendall Cole,90317,9664609.0,1774,28,1,0,1
Hannah Meshnick,86742,9667176.0,1258,28,3,2,1
Emme Steward,142362,11237284.0,1518,38,6,5,1
Emilia Bartholomew,142349,11223206.0,1339,26,2,1,1
Jaisy Caceres,87519,9654120.0,1109,43,5,4,1
Kennedy Hill,115521,9654280.0,1109,27,3,2,1
Sydney Zenon,98525,11229636.0,1109,45,7,6,1
Brooklyn Willis,105549,9664403.0,1443,46,16,15,1
Cara Cooper,82673,9668987.0,1443,46,2,1,1
Beija Allen,81568,9659460.0,1233,29,2,1,1
Kate Linkletter,89422,11225012.0,1334,39,3,2,1
Maddy Ybarra,105557,9655179.0,2074,45,6,5,1
Maliyah Lawson,93565,11222504.0,2074,45,2,1,1
Amanda Burch,106606,9661961.0,2073,24,2,1,1
Hope Ransome,106603,9662019.0,2073,32,1,0,1
Morgan Pelletier,121983,9664248.0,1709,18,6,5,1
DazeJah Lanham,142505,11248156.0,1575,31,1,0,1
Aaliyah Long,105574,9669014.0,1523,25,1,0,1
Tiahna Bowman,142555,11224183.0,1523,25,1,0,1
Keala Montgomery,90087,9660124.0,1929,34,2,1,1
Cheyanne Merkel,150234,11377316.0,1942,21,2,1,1
Samantha Lippiatt,108557,9665665.0,1644,19,1,0,1
Abby Heitman,78598,9664699.0,1663,21,1,0,1
Sarah Lopez,142663,11237662.0,1415,25,1,0,1
Allie Johnston,79623,9666155.0,1581,34,6,5,1
Crysta Duenas,83628,9659446.0,1131,35,1,0,1
Sydney Parlett,98444,9666823.0,1131,43,3,2,1
Aysia Lewis,81400,9657642.0,1632,19,1,0,1
Ki-Litta Sowell,122256,9655720.0,1632,29,3,2,1
Khaylani Bailey,122252,9654877.0,1632,28,1,0,1
Autumn Joyce,142720,11197964.0,1412,42,7,6,1
Lani Warren,91257,9656032.0,1412,42,11,10,1
Kaylan Brown,89930,9669750.0,1412,42,3,2,1
Alexandria Gray,79307,9669973.0,1412,36,3,2,1
Anna Frafjord,80456,9655524.0,1519,36,7,6,1
Ariana Trausch,105620,9658928.0,1519,34,3,2,1
Morgan Spodarek,105672,11238957.0,1519,36,4,3,1
TK Lawson,99102,9659121.0,1630,24,4,3,1
Ashlynn Sherman,80963,9670302.0,1589,25,1,0,1
Ashley  Stringer,80767,9667560.0,1589,29,2,1,1
Izzy Wilcox,107726,9661853.0,2057,26,1,0,1
Rylee Watson,96861,9658238.0,1648,18,2,1,1
Miranda Gonzalez,142835,9669504.0,1315,37,1,0,1
Nina Sepulveda,142839,10801554.0,1315,41,3,2,1
Hollie Thomas,106668,9667668.0,1178,47,5,4,1
Callia Holland,82515,9659921.0,1694,25,4,3,1
Rebecca Heinze,96380,9659286.0,1694,23,1,0,1
Maddie Pike,92685,9668422.0,1728,19,1,0,1
Zoe Stewart,99602,9665700.0,2029,17,7,6,1
Mia Rose,94506,9654769.0,1459,32,3,2,1
Brianna Estevez,115549,9657727.0,1352,39,3,2,1
Sophia KISELOSKI,98071,9665863.0,1352,32,2,1,1
Samantha Kelly,143000,11242132.0,1352,39,1,0,1
Lainey Brown,142995,11242122.0,1352,39,6,5,1
Natalye Debus,142996,11242126.0,1352,39,9,8,1
Isabella Manory,87157,9669266.0,1111,39,4,3,1
Maia Sholter,93360,9656062.0,1444,33,7,6,1
Camryn Sterling,105646,9667142.0,1444,32,2,1,1
Sadie Cecil,143030,11219580.0,1444,40,6,5,1
Bella Gerlach,81614,9658042.0,1106,43,12,11,1
Tia Titi,106681,9664251.0,1106,36,6,5,1
Diamond Leslie,106679,9667087.0,1106,43,9,8,1
Chandler Hoskins,83100,9670164.0,1106,41,8,7,1
Gabriella Beltran,143079,11216289.0,1199,29,3,2,1
Kai Hudson,117524,9655826.0,1199,14,1,0,1
Caitlin Boden,82409,9664702.0,1888,27,1,0,1
Ally McBride,122280,9662418.0,1888,21,1,0,1
Cameron Kelly,122279,9655301.0,1888,21,1,0,1
Addison Clark,143153,11243051.0,1497,36,4,3,1
Jasmine Myers,143161,11243054.0,1497,42,8,7,1
Sophia Fuller,98055,9669955.0,1769,35,3,2,1
Julianna Coluccio,88703,9654517.0,1462,26,3,2,1
Cheyenne Prieto,83226,9666597.0,1385,40,8,7,1
Neila Lucero,143231,11233441.0,1385,33,2,1,1
Trinity Kennemer,99220,11233433.0,1385,28,5,4,1
Lexi Medlock,91765,9656797.0,1272,40,6,5,1
Mady Pint,143290,11231068.0,1272,38,5,4,1
Gabriela Garcia,143317,11241018.0,1621,43,6,5,1
Allyson Black,79776,9655937.0,1486,28,4,3,1
Carly Vaughan,82786,9661820.0,1486,38,4,3,1
Anna LaCount,80477,9656887.0,1508,37,4,3,1
Taylor Eatherton,98774,9662726.0,1508,13,1,0,1
Audrey Olson,143394,11212227.0,1697,15,1,0,1
Olivia Losee,95606,9660821.0,1697,25,3,2,1
Gianna Foreman,85804,9661696.0,1761,25,2,1,1
Rachel Connors,106720,9658890.0,1243,30,3,2,1
Blakely Gill,105730,9666242.0,1397,41,6,5,1
Shelby Samples,97790,9660473.0,1397,42,4,3,1
Megan Matheis,105729,9670750.0,1397,39,2,1,1
Bailey Dillon,105741,9658056.0,1465,42,3,2,1
Carsen Tinkler,82884,9657399.0,1465,42,6,5,1
Cady Dickey,105742,9660586.0,1465,30,1,0,1
Gianna Saggese,143461,11221075.0,1465,37,2,1,1
