year,team,rpi_rank,in_tournament,is_host,w,l,q1_w,q1_l,q2_w,q2_l,q1q2_w,q1q2_g,q1q2_pct,note
2014,Oakland,261,False,False,12,33,1,3,1,8,2,13,0.1538,
2014,Abilene Christian,262,False,False,18,36,0,8,2,4,2,14,0.1429,
2014,Villanova,263,False,False,16,34,0,2,2,9,2,13,0.1538,
2014,UIW,264,False,False,18,32,1,3,1,7,2,12,0.1667,
2014,Niagara,265,False,False,20,31,0,4,0,4,0,8,0.0,
2014,Ark.-Pine Bluff,266,False,False,22,28,0,3,0,5,0,8,0.0,
2014,Navy,267,False,False,23,28,0,1,0,5,0,6,0.0,
2014,North Dakota,268,False,False,10,29,0,4,0,7,0,11,0.0,
2014,Northern Ky.,269,False,False,14,37,0,7,1,8,1,16,0.0625,
2014,Saint Mary's (CA),270,False,False,16,39,1,8,1,10,2,20,0.1,
2014,USC Upstate,271,False,False,17,38,1,5,2,5,3,13,0.2308,
2014,George Washington,272,False,False,20,30,0,4,1,2,1,7,0.1429,
2014,Marist,273,False,False,17,32,0,3,0,4,0,7,0.0,
2014,Youngstown St.,274,True,False,16,36,0,2,1,7,1,10,0.1,
2014,New Orleans,275,False,False,11,38,1,9,0,8,1,18,0.0556,
2014,Harvard,276,False,False,11,28,0,2,1,6,1,9,0.1111,
2014,Prairie View,277,False,False,19,30,0,6,0,0,0,6,0.0,
2014,N.C. A&T,278,False,False,17,32,1,4,0,6,1,11,0.0909,
2014,UAlbany,279,False,False,12,33,1,3,0,8,1,12,0.0833,
2014,Portland,280,False,False,11,41,0,11,2,10,2,23,0.087,
2014,Rhode Island,281,False,False,13,40,0,4,1,6,1,11,0.0909,
2014,UNC Asheville,282,False,False,13,40,1,10,0,5,1,16,0.0625,
2014,Manhattan,283,False,False,17,33,0,6,0,9,0,15,0.0,
2014,Milwaukee,284,False,False,21,29,0,1,0,4,0,5,0.0,
2014,Alabama A&M,285,False,False,21,32,0,0,0,4,0,4,0.0,
2014,St. Bonaventure,286,False,False,12,30,0,1,1,7,1,9,0.1111,
2014,N.C. Central,287,False,False,19,33,0,2,0,2,0,4,0.0,
2014,Iona,288,False,False,13,31,0,4,0,4,0,8,0.0,
2014,Rider,289,False,False,16,33,0,5,0,4,0,9,0.0,
2014,Chicago St.,290,False,False,17,37,0,0,1,8,1,9,0.1111,
2014,Saint Peter's,291,False,False,11,41,0,7,1,8,1,16,0.0625,
2014,Northern Colo.,292,False,False,10,43,1,11,0,6,1,18,0.0556,
2014,UT Martin,293,False,False,9,42,0,2,1,14,1,17,0.0588,
2014,Alcorn,294,False,False,11,42,0,8,0,4,0,12,0.0,
2014,Ohio,295,False,False,11,40,1,1,1,5,2,8,0.25,
2014,Grambling,296,False,False,16,32,0,5,0,1,0,6,0.0,
2014,NJIT,297,False,False,20,25,0,0,0,2,0,2,0.0,
2014,UMES,298,False,False,13,35,0,0,0,6,0,6,0.0,
2014,Coppin St.,299,False,False,12,34,0,0,0,2,0,2,0.0,
2014,Southern U.,300,False,False,10,26,0,2,1,3,1,6,0.1667,
2014,Mississippi Val.,301,False,False,4,37,0,10,0,5,0,15,0.0,
2014,New York Tech,302,False,False,4,46,0,0,0,10,0,10,0.0,
2015,Miami (FL),1,True,True,44,14,13,11,12,2,25,38,0.6579,
2015,DBU,2,True,True,43,13,8,8,8,3,16,27,0.5926,
2015,Florida,3,True,True,44,16,15,11,18,5,33,49,0.6735,
2015,UCLA,4,True,True,42,14,14,9,10,3,24,36,0.6667,
2015,LSU,5,True,True,48,10,17,5,12,4,29,38,0.7632,
2015,Missouri St.,6,True,True,45,10,10,4,10,3,20,27,0.7407,
2015,Texas A&M,7,True,True,45,11,18,5,5,5,23,33,0.697,
2015,TCU,8,True,True,43,11,6,5,11,4,17,26,0.6538,
2015,Florida St.,9,True,True,41,19,17,10,6,5,23,38,0.6053,
2015,Illinois,10,True,True,47,8,9,3,10,2,19,24,0.7917,
2015,Vanderbilt,11,True,True,42,19,12,11,16,5,28,44,0.6364,
2015,Oklahoma St.,12,True,True,37,18,9,10,7,3,16,29,0.5517,
2015,Louisville,13,True,True,43,16,19,10,5,2,24,36,0.6667,
2015,Houston,14,True,True,42,18,10,12,16,4,26,42,0.619,
2015,Bradley,15,True,False,35,19,5,8,9,4,14,26,0.5385,
2015,Radford,16,True,False,43,14,4,6,10,3,14,23,0.6087,
2015,Col. of Charleston,17,True,False,43,13,8,6,4,1,12,19,0.6316,
2015,Fla. Atlantic,18,True,False,40,17,8,7,12,6,20,33,0.6061,
2015,UC Santa Barbara,19,True,True,40,15,5,3,15,4,20,27,0.7407,
2015,Coastal Carolina,20,True,False,38,19,4,9,13,5,17,31,0.5484,
2015,Oral Roberts,21,True,False,41,14,2,4,6,4,8,16,0.5,
2015,Iowa,22,True,False,39,16,6,5,11,5,17,27,0.6296,
2015,Virginia,23,True,False,34,22,16,13,4,5,20,38,0.5263,
2015,Auburn,24,True,False,35,24,11,13,8,8,19,40,0.475,
2015,Southern California,25,True,False,37,19,8,10,13,6,21,37,0.5676,
2015,East Carolina,26,True,False,40,20,7,11,14,5,21,37,0.5676,
2015,Cal St. Fullerton,27,True,True,34,22,8,12,4,4,12,28,0.4286,
2015,UNCW,28,True,False,39,16,3,8,5,3,8,19,0.4211,
2015,NC State,29,True,False,34,21,11,15,6,2,17,34,0.5,
2015,Oregon St.,30,True,False,38,16,6,7,14,6,20,33,0.6061,
