rank,teamSeasonId,teamName,conference,record,rpi,sport,division,date
156,613811,Fordham(AQ),Atlantic 10,155,0.49241,softball,D1,05/10/2026 (Selections)
157,613558,Middle Tenn.,CUSA,152,0.49153,softball,D1,05/10/2026 (Selections)
158,613750,UC Davis,Big West,159,0.49008,softball,D1,05/10/2026 (Selections)
159,613674,South Dakota(AQ),Summit League,160,0.48905,softball,D1,05/10/2026 (Selections)
160,613792,Boston College,ACC,162,0.48825,softball,D1,05/10/2026 (Selections)
161,613726,Colorado St.,Mountain West,157,0.48753,softball,D1,05/10/2026 (Selections)
162,613694,UT Arlington,WAC,163,0.48703,softball,D1,05/10/2026 (Selections)
163,613661,Saint Joseph's,Atlantic 10,164,0.48609,softball,D1,05/10/2026 (Selections)
164,613692,Texas Southern,SWAC,165,0.48602,softball,D1,05/10/2026 (Selections)
165,613602,Chattanooga,SoCon,161,0.48361,softball,D1,05/10/2026 (Selections)
166,613796,Brown,Ivy League,169,0.48357,softball,D1,05/10/2026 (Selections)
167,613742,Eastern Ky.,ASUN,167,0.48355,softball,D1,05/10/2026 (Selections)
168,613746,Florida A&M(AQ),SWAC,168,0.48334,softball,D1,05/10/2026 (Selections)
169,613827,Howard(AQ),MEAC,171,0.48240,softball,D1,05/10/2026 (Selections)
170,613632,Northern Colo.,Big Sky,172,0.48216,softball,D1,05/10/2026 (Selections)
171,613635,Northwestern St.,Southland,173,0.48184,softball,D1,05/10/2026 (Selections)
172,613673,South Dakota St.,Summit League,177,0.48109,softball,D1,05/10/2026 (Selections)
173,613690,UT Martin,OVC,178,0.48079,softball,D1,05/10/2026 (Selections)
174,613648,Prairie View,SWAC,166,0.48047,softball,D1,05/10/2026 (Selections)
175,613831,UIC,MVC,182,0.47948,softball,D1,05/10/2026 (Selections)
176,613727,Columbia,Ivy League,176,0.47881,softball,D1,05/10/2026 (Selections)
177,613786,Ball St.,MAC,181,0.47846,softball,D1,05/10/2026 (Selections)
178,613800,Butler,Big East,170,0.47836,softball,D1,05/10/2026 (Selections)
179,613614,Harvard,Ivy League,179,0.47835,softball,D1,05/10/2026 (Selections)
180,613679,Southern Utah,WAC,180,0.47827,softball,D1,05/10/2026 (Selections)
181,613666,San Diego,WCC,175,0.47797,softball,D1,05/10/2026 (Selections)
182,613725,Colgate,Patriot,174,0.47703,softball,D1,05/10/2026 (Selections)
183,613604,Dayton,Atlantic 10,185,0.47427,softball,D1,05/10/2026 (Selections)
184,613703,Utah St.,Mountain West,184,0.47235,softball,D1,05/10/2026 (Selections)
185,613667,San Jose St.,Mountain West,187,0.47209,softball,D1,05/10/2026 (Selections)
186,613743,Evansville,MVC,186,0.47132,softball,D1,05/10/2026 (Selections)
187,613846,Lehigh,Patriot,191,0.47032,softball,D1,05/10/2026 (Selections)
188,613585,Lindenwood,OVC,192,0.47027,softball,D1,05/10/2026 (Selections)
189,613797,Bryant,America East,194,0.47004,softball,D1,05/10/2026 (Selections)
190,613842,Kent St.,MAC,188,0.46984,softball,D1,05/10/2026 (Selections)
191,613763,Seattle U,WCC,195,0.46961,softball,D1,05/10/2026 (Selections)
192,613662,Saint Louis,Atlantic 10,190,0.46933,softball,D1,05/10/2026 (Selections)
193,613760,Gardner-Webb,Big South,189,0.46910,softball,D1,05/10/2026 (Selections)
194,613799,Buffalo,MAC,198,0.46897,softball,D1,05/10/2026 (Selections)
195,613556,Mercer,SoCon,196,0.46860,softball,D1,05/10/2026 (Selections)
196,613655,Rider,MAAC,183,0.46773,softball,D1,05/10/2026 (Selections)
197,613629,North Dakota,Summit League,199,0.46634,softball,D1,05/10/2026 (Selections)
198,613830,Illinois,Big Ten,202,0.46579,softball,D1,05/10/2026 (Selections)
199,613814,George Washington,Atlantic 10,197,0.46556,softball,D1,05/10/2026 (Selections)
200,613733,DePaul,Big East,207,0.46518,softball,D1,05/10/2026 (Selections)
201,613610,UAlbany,America East,193,0.46515,softball,D1,05/10/2026 (Selections)
202,613676,SIUE,OVC,206,0.46282,softball,D1,05/10/2026 (Selections)
203,613656,Robert Morris,Horizon,201,0.46242,softball,D1,05/10/2026 (Selections)
204,613759,Elon,CAA,203,0.46144,softball,D1,05/10/2026 (Selections)
205,613835,Iona,MAAC,200,0.46142,softball,D1,05/10/2026 (Selections)
206,613591,Northern Ky.(AQ),Horizon,205,0.46104,softball,D1,05/10/2026 (Selections)
207,613550,UMBC,America East,208,0.46037,softball,D1,05/10/2026 (Selections)
208,613832,Indiana St.,MVC,210,0.46013,softball,D1,05/10/2026 (Selections)
209,613705,Valparaiso,MVC,217,0.45945,softball,D1,05/10/2026 (Selections)
210,613555,Memphis,American,212,0.45881,softball,D1,05/10/2026 (Selections)
211,613644,Pacific,WCC,216,0.45872,softball,D1,05/10/2026 (Selections)
212,613698,Toledo,MAC,221,0.45775,softball,D1,05/10/2026 (Selections)
213,613790,Binghamton(AQ),America East,213,0.45692,softball,D1,05/10/2026 (Selections)
214,613813,George Mason,Atlantic 10,204,0.45647,softball,D1,05/10/2026 (Selections)
215,613565,Montana,Big Sky,214,0.45620,softball,D1,05/10/2026 (Selections)
216,613669,Seton Hall,Big East,223,0.45615,softball,D1,05/10/2026 (Selections)
217,613553,Massachusetts,MAC,215,0.45606,softball,D1,05/10/2026 (Selections)
217,613744,Fairfield,MAAC,209,0.45606,softball,D1,05/10/2026 (Selections)
219,613848,Longwood,Big South,211,0.45531,softball,D1,05/10/2026 (Selections)
220,613652,Quinnipiac,MAAC,220,0.45488,softball,D1,05/10/2026 (Selections)
221,613852,UMass Lowell,America East,224,0.45351,softball,D1,05/10/2026 (Selections)
222,613597,Siena,MAAC,219,0.45309,softball,D1,05/10/2026 (Selections)
223,613654,Rhode Island,Atlantic 10,222,0.45256,softball,D1,05/10/2026 (Selections)
224,613583,UC San Diego,Big West,229,0.45199,softball,D1,05/10/2026 (Selections)
225,613696,UTEP,CUSA,227,0.45151,softball,D1,05/10/2026 (Selections)
226,613699,Towson,CAA,218,0.45140,softball,D1,05/10/2026 (Selections)
227,613685,Stony Brook,CAA,225,0.45117,softball,D1,05/10/2026 (Selections)
228,613738,Drexel,CAA,226,0.45107,softball,D1,05/10/2026 (Selections)
229,613732,Dartmouth,Ivy League,234,0.45027,softball,D1,05/10/2026 (Selections)
