team_id,team_name,sport,division,ncaa_school,primary_metric_name,primary_metric_value,fgr,primary_percentile,fgr_percentile,education_percentile
775,TCU,Baseball,D1,Texas Christian University,GSR,87.0,68.0,0.24285714285714285,0.574468085106383,0.40866261398176296
788,The Citadel,Baseball,D1,The Citadel,GSR,86.0,69.0,0.20408163265306123,0.6106382978723405,0.40735996526270085
440,Marshall,Baseball,D1,Marshall University,GSR,92.0,60.0,0.5551020408163265,0.2574468085106383,0.4062744246634824
516,Murray St.,Baseball,D1,Murray State University,GSR,92.0,60.0,0.5551020408163265,0.2574468085106383,0.4062744246634824
589,Oregon St.,Baseball,D1,Oregon State University,GSR,89.0,65.0,0.3510204081632653,0.4531914893617021,0.40210594876248373
838,UT Arlington,Baseball,D1,University of Texas at Arlington,GSR,89.0,65.0,0.3510204081632653,0.4531914893617021,0.40210594876248373
101,BYU,Baseball,D1,Brigham Young University,GSR,80.0,72.0,0.07346938775510205,0.7212765957446808,0.39737299174989144
338,Houston Christian,Baseball,D1,Houston Christian University,GSR,88.0,66.0,0.29591836734693877,0.49361702127659574,0.3947676943117673
711,South Dakota St.,Baseball,D1,South Dakota State University,GSR,87.0,67.0,0.24285714285714285,0.5340425531914894,0.38844984802431615
709,South Alabama,Baseball,D1,University of South Alabama,GSR,89.0,63.0,0.3510204081632653,0.39787234042553193,0.37444637429439864
294,Georgia St.,Baseball,D1,Georgia State University,GSR,88.0,64.0,0.29591836734693877,0.425531914893617,0.36072514112027787
429,Maine,Baseball,D1,University of Maine,GSR,84.0,68.0,0.13877551020408163,0.574468085106383,0.35662179765523233
843,Utah Valley,Baseball,D1,Utah Valley University,GSR,90.0,61.0,0.41020408163265304,0.3,0.3551020408163265
345,Illinois,Baseball,D1,Eastern Illinois University,GSR,89.0,62.0,0.3510204081632653,0.34893617021276596,0.34997828918801566
782,Texas A&M,Baseball,D1,"Texas A&M University, College Station",GSR,86.0,66.0,0.20408163265306123,0.49361702127659574,0.3488493269648285
824,UMBC,Baseball,D1,"University of Maryland, Baltimore County",GSR,87.0,65.0,0.24285714285714285,0.4531914893617021,0.34802431610942247
582,Old Dominion,Baseball,D1,Old Dominion University,GSR,88.0,63.0,0.29591836734693877,0.39787234042553193,0.3468953538862354
31,Arizona,Baseball,D1,University of Arizona,GSR,92.0,57.0,0.5551020408163265,0.13617021276595745,0.345636126791142
