team,conf,rpi_rank,rpi_value,wl,noncon_record,conf_record,road_wl,q1,q2,q3,q4,vs_top_100,vs_below_150,sos_rank,ncsos_rank,ncsos_value,dsr
Santa Clara,WCC,151,0.49477,25-23,15-18,10-5,10-11,0-5,0-3,1-3,24-12,1-11,19-8,187,179,0.49522,138
Middle Tenn.,CUSA,152,0.49371,21-30,14-10,7-20,6-14,0-2,1-2,4-20,16-6,5-24,14-3,72,90,0.53415,156
Utah Valley,WAC,153,0.49363,28-21,20-11,8-10,12-10,0-1,0-0,2-10,26-10,2-11,20-6,231,257,0.44715,148
Michigan St.,Big Ten,154,0.49316,17-34,14-14,3-20,1-20,2-8,0-9,4-10,11-7,6-27,7-4,68,129,0.51393,155
Hofstra,CAA,155,0.49258,29-21,8-18,21-3,17-13,0-0,0-3,1-2,28-16,1-5,27-10,214,232,0.46738,174
Colorado St.,Mountain West,156,0.49237,23-27,12-13,11-14,8-9,0-1,1-4,1-9,21-13,2-14,13-9,127,230,0.46850,142
Boston College,ACC,157,0.49000,13-38,10-17,3-21,4-15,0-13,2-10,1-5,10-10,3-28,6-4,34,44,0.56323,145
Prairie View,SWAC,158,0.48896,27-17,8-13,19-4,10-7,0-1,0-0,3-1,24-15,3-2,20-6,244,291,0.41160,163
Eastern Ky.,ASUN,159,0.48806,27-24-1,13-16,14-8-1,6-9,0-0,0-3,4-9-1,23-12,4-12-1,17-6,209,247,0.45429,122
UC Davis,Big West,160,0.48779,28-23,11-13,17-10,12-6,0-1,0-0,4-5,24-17,4-6,18-12,220,166,0.50030,180
Brown,Ivy League,161,0.48610,20-22,9-13,11-9,8-13,0-2,0-1,0-10,20-9,0-13,20-8,147,126,0.51618,169
Oregon St.,WCC,162,0.48574,19-31,12-23,7-8,3-13,0-6,0-1,1-8,18-16,1-15,12-9,73,40,0.56453,147
Saint Joseph's,Atlantic 10,163,0.48561,24-23,11-12,13-11,9-16,0-0,0-3,0-4,24-16,0-7,22-11,189,175,0.49632,192
Northern Colo.,Big Sky,164,0.48386,23-26,14-19,9-7,6-11,0-1,0-2,0-4,23-19,0-7,15-10,160,153,0.50371,165
Northwestern St.,Southland,165,0.48343,24-29,11-13,13-16,7-12,0-1,2-6,3-4,19-18,5-11,13-7,155,168,0.49948,189
Texas Southern,SWAC,166,0.48332,25-10,8-4,17-6,9-4,0-0,0-0,0-0,25-10,0-0,23-6,295,303,0.35888,201
Southern Utah,WAC,167,0.48298,20-28,14-16,6-12,3-17,0-3,0-5,3-5,17-15,3-13,14-6,121,102,0.52678,180
Col. of Charleston,CAA,168,0.48282,26-28,12-18,14-10,6-13,0-1,0-4,2-9,24-14,2-14,17-9,165,158,0.50190,199
UT Martin,OVC,169,0.48269,33-19,13-13,20-6,9-11,0-3,0-1,4-3,29-12,4-7,27-9,282,233,0.46699,176
Harvard,Ivy League,170,0.48229,21-21-1,9-12-1,12-9,12-8,0-0,0-1,0-5,21-15-1,0-6,20-9-1,183,177,0.49538,161
Ball St.,MAC,171,0.48187,23-25,13-8,10-17,9-12,0-0,1-1,2-10,20-14,3-11,19-5,192,283,0.42253,140
UIC,MVC,172,0.48141,21-32-1,11-14-1,10-18,8-16-1,0-0,3-5,1-8,17-19-1,4-13,15-11-1,105,72,0.54363,203
Chattanooga,SoCon,173,0.48095,22-27-1,12-16-1,10-11,3-16,0-0,0-4,3-13,19-10-1,3-17,17-5-1,133,165,0.50060,153
Butler,Big East,174,0.48059,24-19,9-10,15-9,14-8,0-0,0-2,0-2,24-15,0-4,18-5,242,288,0.41702,151
Fordham,Atlantic 10,175,0.47939,23-26,10-15,13-11,8-11,0-2,1-1,0-1,22-22,1-4,18-16,163,140,0.51112,182
Evansville,MVC,176,0.47919,21-28,9-13,12-15,8-17,0-0,0-6,2-7,19-15,2-13,15-11,136,117,0.51954,178
Seattle U,WCC,177,0.47825,19-29,14-18,5-11,6-14,0-2,0-1,3-4,16-22,3-7,15-10,111,122,0.51680,181
South Dakota St.,Summit League,178,0.47753,23-32,18-20,5-12,8-23,0-4,1-5,2-4,20-19,3-13,18-9,162,205,0.48149,160
South Dakota,Summit League,179,0.47692,15-33-1,8-22-1,7-11,9-15,0-0,1-6,2-11,12-16-1,3-17,9-8-1,67,66,0.54656,157
Saint Louis,Atlantic 10,180,0.47545,23-26,10-16,13-10,6-14,0-0,0-4,0-2,23-20,0-6,21-17,170,186,0.49076,190
Dayton,Atlantic 10,181,0.47496,24-22,11-11,13-11,9-12,0-0,0-2,1-1,23-19,1-3,22-10,241,272,0.43381,167
Mercer,SoCon,182,0.47488,20-29,12-16,8-13,3-11,0-4,0-1,3-12,17-12,3-17,12-10,150,194,0.48810,168
San Jose St.,Mountain West,183,0.47470,15-33,8-15,7-18,3-17,0-3,0-4,5-7,10-19,5-14,5-8,71,86,0.53690,187
Columbia,Ivy League,184,0.47429,20-21,8-12,12-9,12-7,0-0,0-0,0-8,20-13,0-8,19-9,197,212,0.47907,193
Utah St.,Mountain West,185,0.47427,19-35,12-17,7-18,6-15,0-5,0-6,3-6,16-18,3-17,11-9,88,123,0.51630,170
Howard,MEAC,186,0.47294,25-17,7-14,18-3,9-5,0-2,0-0,0-2,25-13,0-4,24-7,275,209,0.47986,219
Bryant,America East,187,0.47288,20-21,10-17,10-4,6-11,0-2,0-3,0-1,20-15,0-6,19-10,222,240,0.45996,194
San Diego,WCC,188,0.47247,18-30,14-19,4-11,3-13,0-0,0-2,2-8,16-20,2-10,11-13,87,101,0.52746,183
UAlbany,America East,189,0.47240,24-18,14-11,10-7,14-8,0-0,0-0,0-0,24-18,0-0,23-16,243,251,0.45281,177
Colgate,Patriot,190,0.47215,27-24,14-19,13-5,12-11,0-0,0-2,0-5,27-17,0-7,22-10,225,226,0.46999,175
Kent St.,MAC,191,0.47137,20-30,12-11,8-19,2-17,0-1,0-2,0-13,20-14,0-16,18-6,112,148,0.50656,212
Buffalo,MAC,192,0.47100,24-32,14-15,10-17,7-13,0-2,0-3,2-10,22-17,2-15,17-9,186,215,0.47761,207
Gardner-Webb,Big South,193,0.47066,30-23,22-13,8-10,8-15,0-1,1-1,0-1,29-20,1-3,26-8,274,282,0.42342,165
Lehigh,Patriot,194,0.47018,25-28,20-15,5-13,10-16,0-0,0-1,2-8,23-19,2-9,21-14,198,173,0.49649,197
Rider,MAAC,195,0.46937,25-24,11-11,14-13,8-13,0-0,0-1,1-4,24-19,1-5,20-15,190,94,0.53281,237
George Washington,Atlantic 10,196,0.46924,23-20,11-8,12-12,4-12,0-1,0-0,0-2,23-17,0-3,23-12,249,275,0.43060,185
Illinois,Big Ten,197,0.46782,15-39,12-19,3-20,3-15,0-4,0-11,1-14,14-10,1-29,10-3,79,96,0.53146,152
Florida A&M,SWAC,198,0.46771,27-19,8-14,19-5,10-9,0-2,0-2,0-3,27-12,0-7,24-9,272,80,0.54015,229
North Dakota,Summit League,199,0.46684,25-24,20-12,5-12,8-14,0-0,0-4,2-2,23-18,2-6,17-13,261,290,0.41218,171
Elon,CAA,200,0.46654,18-31,6-19,12-12,5-14,0-4,0-3,2-7,16-17,2-14,14-10,106,37,0.56636,198
DePaul,Big East,201,0.46582,20-30,12-14,8-16,5-17,0-0,1-4,1-5,18-21,2-9,15-11,173,172,0.49651,218
UMBC,America East,202,0.46354,10-8,10-8,0-0,0-3,0-0,0-0,0-1,10-7,0-1,9-2,279,286,0.42068,245
Memphis,American,203,0.46339,18-38,12-17,6-21,3-18,0-6,0-6,2-12,16-14,2-24,11-4,118,171,0.49711,191
SIUE,OVC,204,0.46199,27-27,9-18,18-9,11-9,0-0,0-3,2-4,25-20,2-7,23-9,253,160,0.50150,202
Indiana St.,MVC,205,0.46121,22-28,12-13,10-15,5-16,0-0,0-5,0-6,22-17,0-11,18-11,221,229,0.46862,213
Fairfield,MAAC,206,0.46114,27-22,8-15,19-7,14-9,0-0,0-0,0-5,27-17,0-5,27-11,266,261,0.44478,244
Robert Morris,Horizon,207,0.46049,25-16,14-9,11-7,10-8,0-0,0-0,1-3,24-13,1-3,22-9,288,276,0.43019,162
Pacific,WCC,208,0.45958,18-34,11-22,7-12,7-16,0-3,0-1,0-8,18-22,0-12,18-14,132,151,0.50450,221
Valparaiso,MVC,209,0.45952,22-30,12-13,10-17,10-15,0-0,0-5,1-3,21-22,1-8,18-15,202,249,0.45350,238
Toledo,MAC,210,0.45919,15-35,4-19,11-16,8-16,0-1,0-4,3-11,12-19,3-16,9-10,103,152,0.50439,208
Lindenwood,OVC,211,0.45851,28-22,11-12,17-10,8-12,0-1,1-0,1-2,26-19,2-3,23-16,285,242,0.45899,249
Longwood,Big South,212,0.45786,21-32,14-22,7-10,6-12,0-4,0-3,0-2,21-23,0-9,18-14,148,138,0.51185,210
Siena,MAAC,213,0.45716,25-20,10-8,15-12,15-11,0-0,0-0,0-0,25-20,0-0,25-14,277,258,0.44675,196
George Mason,Atlantic 10,214,0.45624,26-25,16-11,10-14,7-12,0-0,0-1,1-0,25-24,1-1,23-19,254,273,0.43260,200
Massachusetts,MAC,215,0.45621,19-30,9-13,10-17,6-14,0-0,1-0,2-11,16-19,3-11,13-12,175,200,0.48267,211
Montana,Big Sky,216,0.45610,18-31,8-24,10-7,7-18,0-1,0-2,1-7,17-21,1-10,15-15,157,163,0.50068,224
Seton Hall,Big East,217,0.45591,19-30,13-12,6-18,3-15,0-2,0-0,0-3,19-25,0-5,14-14,184,189,0.48999,206
UC San Diego,Big West,218,0.45536,23-26,11-11,12-15,5-10,0-1,0-0,0-8,23-17,0-9,23-7,263,260,0.44528,256
Northern Ky.,Horizon,219,0.45519,23-23,12-16,11-7,7-9,0-0,0-4,0-2,23-17,0-6,22-14,252,221,0.47433,209
Kansas City,Summit League,220,0.45379,16-31,10-19,6-12,1-15,0-1,0-6,0-5,16-19,0-12,14-11,141,217,0.47583,225
UMass Lowell,America East,221,0.45290,24-25,16-15,8-10,10-15,0-0,0-0,1-3,23-22,1-3,22-18,262,255,0.45136,247
Drexel,CAA,222,0.45237,22-23,11-10,11-13,7-12,0-0,0-0,1-2,21-21,1-2,21-18,255,297,0.40486,251
UTEP,CUSA,223,0.45136,12-37,8-14,4-23,2-15,0-5,0-0,1-18,11-14,1-23,6-4,80,34,0.57061,195
Rhode Island,Atlantic 10,224,0.45135,21-26,12-11,9-15,9-15,0-0,0-0,0-2,21-24,0-2,19-17,229,246,0.45568,248
Iona,MAAC,225,0.45128,24-24,6-14,18-10,11-14,0-0,0-0,0-7,24-17,0-7,22-12,247,146,0.50684,254
A&M-Corpus Christi,Southland,226,0.45087,14-39,6-18,8-21,3-23,0-3,0-9,0-8,14-19,0-20,12-4,96,85,0.53730,246
Towson,CAA,227,0.45084,25-26,17-10,8-16,6-9,0-0,0-0,2-6,23-20,2-6,22-20,246,287,0.41976,252
Quinnipiac,MAAC,228,0.45040,21-19,5-7,16-12,10-11,0-0,0-0,0-4,21-15,0-4,21-12,280,207,0.48088,239
Stony Brook,CAA,229,0.44960,20-27,9-14,11-13,8-14,0-0,0-1,0-6,20-20,0-7,19-20,211,178,0.49524,222
Dartmouth,Ivy League,230,0.44942,10-23,3-10,7-13,6-9,0-5,0-0,2-1,8-17,2-6,8-17,122,51,0.55805,216
Villanova,Big East,231,0.44865,14-39,6-23,8-16,3-17,0-4,0-7,0-4,14-24,0-15,11-13,100,69,0.54561,184
Georgetown,Big East,232,0.44766,16-26,7-11,9-15,6-14,0-0,0-0,0-3,16-23,0-3,12-12,196,231,0.46774,231
Delaware St.,MEAC,233,0.44765,18-16,3-10,15-6,10-7,0-1,0-2,0-2,18-11,0-5,18-10,281,167,0.49968,250
Kennesaw St.,CUSA,234,0.44632,7-43,4-19,3-24,2-17,0-5,0-7,3-16,4-15,3-28,3-9,55,10,0.60453,220
Binghamton,America East,235,0.44599,16-24,7-19,9-5,3-11,0-3,0-1,1-5,15-15,1-9,14-13,223,202,0.48193,166
Sacred Heart,MAAC,236,0.44510,22-29,6-18,16-11,9-13,0-0,0-0,1-3,21-26,1-3,21-23,219,181,0.49405,259
Portland St.,Big Sky,237,0.44503,14-31,10-19,4-12,4-15,0-2,0-1,2-4,12-24,2-7,9-13,130,118,0.51938,240
Southeast Mo. St.,OVC,238,0.44489,20-28,4-18,16-10,7-18,0-6,0-2,0-3,20-17,0-11,17-14,235,124,0.51625,204
Central Conn. St.,NEC,239,0.44284,26-17,6-13,20-4,11-8,0-0,0-0,0-0,26-17,0-0,26-17,294,180,0.49507,269
Bethune-Cookman,SWAC,240,0.44268,20-26,4-18,16-8,8-6,0-2,0-3,1-3,19-18,1-8,19-13,230,74,0.54288,214
West Ga.,ASUN,241,0.44260,15-40,6-20,9-20,4-19,0-1,0-2,3-18,12-19,3-21,8-13,123,88,0.53590,260
Lipscomb,ASUN,242,0.44191,13-38,7-20,6-18,4-13,0-2,0-4,1-14,12-18,1-20,9-9,119,107,0.52430,236
Utah Tech,WAC,243,0.44185,18-32,13-19,5-13,4-16,0-0,0-3,0-8,18-21,0-11,16-10,216,252,0.45272,217
Yale,Ivy League,244,0.44105,17-28,10-14,7-14,5-14,0-0,0-3,1-4,16-21,1-7,16-21,218,238,0.46314,242
Cornell,Ivy League,245,0.44104,21-22,13-9,8-13,7-9,0-0,0-0,0-3,21-19,0-3,21-19,286,300,0.37325,233
Bradley,MVC,246,0.43880,16-37,8-17,8-20,7-20,0-0,0-6,0-3,16-28,0-9,13-15,149,199,0.48328,227
ETSU,SoCon,247,0.43834,21-28,13-15,8-13,6-11,0-1,0-0,1-5,20-22,1-6,18-11,240,296,0.40645,253
Alabama St.,SWAC,248,0.43647,21-30,5-20,16-10,8-11,0-3,0-2,0-7,21-18,0-12,21-13,237,48,0.56109,257
Youngstown St.,Horizon,249,0.43634,31-18,17-14,14-4,12-11,0-0,0-0,0-0,31-18,0-0,31-14,304,305,0.34264,205
Monmouth,CAA,250,0.43623,20-31,10-17,10-14,6-17,0-0,0-1,0-2,20-28,0-3,20-24,215,254,0.45206,263
Presbyterian,Big South,251,0.43587,20-30,12-20,8-10,5-13,0-1,0-0,0-5,20-24,0-6,17-13,238,268,0.43690,232
Queens (NC),ASUN,252,0.43470,14-34,8-16,6-18,5-17,0-2,0-1,2-15,12-16,2-18,9-6,182,157,0.50248,223
Drake,MVC,253,0.43452,13-38,6-17,7-21,4-18,0-2,0-4,1-8,12-24,1-14,11-15,142,197,0.48557,228
Penn,Ivy League,254,0.43300,17-27,9-14,8-13,2-14,0-0,0-0,0-5,17-22,0-5,17-19,234,271,0.43418,268
Bowling Green,MAC,255,0.43293,20-29,14-9,6-20,7-15,0-0,0-0,1-7,19-22,1-7,16-16,270,301,0.36870,226
CSUN,Big West,256,0.43242,14-32,5-14,9-18,4-17,0-2,0-1,1-8,13-21,1-11,10-11,210,145,0.50693,215
Canisius,MAAC,257,0.43184,16-26,5-11,11-15,6-16,0-0,0-2,0-5,16-19,0-7,16-16,233,120,0.51785,255
Mount St. Mary's,MAAC,258,0.43130,20-28,5-16,15-12,11-10,0-0,0-0,0-0,20-28,0-0,20-25,250,241,0.45991,265
Houston Christian,Southland,259,0.43089,11-36,3-17,8-19,4-16,0-0,1-6,1-7,9-23,2-13,8-9,146,184,0.49169,243
Abilene Christian,WAC,260,0.42873,7-41,3-27,4-14,3-16,0-6,0-0,1-9,6-26,1-15,3-14,82,89,0.53507,241
Jackson St.,SWAC,261,0.42390,20-20,1-11,19-9,6-9,0-0,0-1,0-2,20-17,0-3,20-14,291,228,0.46931,267
