team,conf,rpi_rank,rpi_value,wl,noncon_record,conf_record,road_wl,q1,q2,q3,q4,vs_top_100,vs_below_150,sos_rank,ncsos_rank,ncsos_value,dsr
Utah Valley,WAC,286,0.42717,12-30,11-19,1-11,5-18,0-5,0-5,3-13,9-7,0-11,11-11,215,286,,
Mount St. Mary's,MAAC,287,0.42417,19-25,8-9,11-16,10-9,0-0,0-0,6-10,13-15,0-1,18-19,294,290,,
St. Thomas (MN),Summit League,288,0.42035,9-33,3-19,6-14,6-23,1-3,0-3,2-15,6-12,1-7,8-18,195,56,,
Texas Southern,SWAC,289,0.42022,19-18,1-7,18-11,7-10,0-0,0-2,1-5,18-11,0-0,19-16,307,253,,
Ohio,MAC,290,0.41820,9-38,3-17,6-21,7-21,1-4,0-4,6-15,2-15,2-9,7-28,180,215,,
Bradley,MVC,291,0.41811,9-39,4-23,5-16,8-28,0-1,0-6,6-18,3-14,0-8,7-24,204,134,,
Youngstown St.,Horizon,292,0.41559,10-36,3-25,7-11,8-28,0-9,0-0,2-6,8-21,0-9,9-21,238,93,,
Jackson St.,SWAC,293,0.41244,19-23,4-7,15-16,7-12,0-2,0-0,1-4,18-17,0-2,19-20,304,240,,
NJIT,America East,294,0.41086,15-26-1,9-11-1,6-15,6-11,0-0,0-2,4-7,11-17-1,0-1,12-16-1,291,284,,
Oakland,Horizon,295,0.40995,9-33,4-17,5-16,6-21,1-8,1-2,2-7,5-16,1-8,5-18,239,31,,
Mississippi Val.,SWAC,296,0.40385,11-30,2-13,9-17,6-24,0-2,0-1,2-15,9-12,0-2,11-26,279,207,,
Northern Colo.,Summit League,297,0.40027,13-33,3-21,10-12,6-27,0-2,0-0,2-19,11-12,0-2,12-26,298,236,,
New Haven,NEC,298,0.39534,9-29,0-14,9-15,5-18,0-3,0-1,0-10,9-15,0-4,9-22,266,221,,
Mercyhurst,NEC,299,0.39164,13-27,1-12,12-15,5-12,0-2,0-4,0-4,13-17,0-3,13-21,285,37,,
Central Conn. St.,NEC,300,0.39088,14-23,3-7,11-16,5-14,0-0,0-0,1-8,13-15,0-1,14-21,302,235,,
Norfolk St.,NEC,301,0.37581,17-25,3-12,14-13,5-9,0-0,1-1,0-3,16-21,0-0,16-23,306,267,,
Prairie View,SWAC,302,0.37022,8-34,0-16,8-18,2-23,0-0,0-0,1-18,7-16,0-0,8-34,290,297,,
Coppin St.,NEC,303,0.36214,9-32,0-14,9-18,3-16,0-3,0-0,0-6,9-23,0-3,9-28,292,222,,
Alabama A&M,SWAC,304,0.35340,7-38,3-15,4-23,1-19,0-3,0-2,2-6,5-27,0-5,6-32,288,202,,
Alcorn,SWAC,305,0.35232,4-38,0-13,4-25,2-23,0-5,0-1,0-6,4-26,0-6,4-30,272,47,,
UMES,NEC,306,0.34928,8-33,1-13,7-20,4-17,0-0,0-0,0-8,8-25,0-0,8-33,300,275,,
Saint Peter's,MAAC,307,0.34900,5-40,4-17,1-23,4-27,0-0,0-0,1-6,4-34,0-0,4-40,295,299,,
Delaware St.,NEC,308,0.34658,4-39,0-16,4-23,1-27,0-0,0-0,0-11,4-28,0-0,4-39,261,136,,
