id,name,class_ranking,current_rpi,academics,conference_id,team_id_ncaa,sport,logo_url,state_id
73,Berry,0.0,,,64.0,973.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/73.png,10.0
74,Bethany (WV),0.0,,,21.0,59.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/74.png,48.0
75,Bethany Lutheran,0.0,,,65.0,30038.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/75.png,23.0
76,Bethel (MN),0.0,,,39.0,60.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/76.png,23.0
77,Bethune-Cookman,0.0,163.0,,12.0,61.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/77.png,9.0
78,Binghamton,0.0,108.0,,67.0,62.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/78.png,32.0
79,Biola,0.0,,,4.0,30220.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/79.png,5.0
80,Birmingham-So.,0.0,,,,28593.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/80.png,
81,Blackburn,0.0,,,69.0,64.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/81.png,13.0
82,Bloomfield,0.0,,,23.0,984.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/82.png,30.0
83,Bloomsburg,0.0,,,70.0,65.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/83.png,38.0
84,Bluefield St.,0.0,,,71.0,985.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/84.png,48.0
85,Bluffton,0.0,,,27.0,987.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/85.png,35.0
86,Bob Jones,0.0,,,,30232.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/86.png,
87,Boston College,0.0,28.0,,72.0,67.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/87.png,21.0
88,Bowdoin,0.0,,,26.0,69.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/88.png,19.0
89,Bowling Green,0.0,129.0,,10.0,71.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/89.png,35.0
90,Bradley,0.0,267.0,,62.0,72.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/90.png,13.0
91,Brandeis,0.0,,,74.0,73.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/91.png,21.0
92,Brevard,0.0,,,51.0,30094.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/92.png,33.0
93,Bridgeport,0.0,,,23.0,74.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/93.png,7.0
94,Bridgewater (VA),0.0,,,50.0,75.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/94.png,46.0
95,Bridgewater St.,0.0,,,75.0,76.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/95.png,21.0
96,Brown,0.0,170.0,,76.0,80.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/96.png,39.0
97,Bryant,0.0,161.0,,67.0,81.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/97.png,39.0
98,Bucknell,0.0,146.0,,36.0,83.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/98.png,38.0
99,Buena Vista,0.0,,,78.0,84.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/99.png,15.0
100,Butler,0.0,220.0,,79.0,87.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/100.png,14.0
