id,name,position,bio,tenure_at_school,team_id,wins,loss,ties,win_perc
184,Cameron Curler,Head Coach,,4,861,32,74,0,0.302
185,Bill Currier,Head Coach,,37,251,891,789,4,0.53
186,Chris Curry,Head Coach,,12,412,270,303,0,0.471
187,Bryce Darnell,Head Coach,,19,496,560,381,0,0.595
188,Tony David,Head Coach,,5,683,136,110,0,0.553
189,Terry Davis,Head Coach,,3,892,35,76,0,0.315
190,Kyle Davis,Head Coach,,7,954,90,147,0,0.38
191,Will Davis,Head Coach,,10,388,263,211,0,0.555
192,Dan Davis,Head Coach,,20,800,278,633,0,0.305
193,Dave Dawson,Head Coach,,21,38,608,438,0,0.581
194,Jeffrey De La Concha,Head Coach,,2,391,19,44,0,0.302
195,Dave DeGeorge,Head Coach,,36,67,587,588,2,0.5
196,Todd DeGraffenreid,Head Coach,,23,491,507,563,1,0.474
197,Bill Decker,Head Coach,,36,318,730,537,1,0.576
198,Justin Dedman,Head Coach,,1,90,4,7,0,0.364
199,Mike Deegan,Head Coach,,14,208,382,156,0,0.71
200,Matt Deggs,Head Coach,,12,419,384,251,0,0.605
201,Anthony Del Prete,Head Coach,,11,762,219,195,1,0.529
202,Bruce Del Tondo,Head Coach,,6,3,76,177,0,0.3
203,John Delaney,Head Coach,,12,633,230,303,1,0.432
204,Christopher Delgado,Head Coach,,3,398,1,57,0,0.017
205,Nick Derba,Head Coach,,10,429,176,252,0,0.411
206,Tony Deshler,Head Coach,,1,860,4,4,0,0.5
207,Joe DiMento,Head Coach,,4,603,50,70,0,0.417
208,Rob DiToma,Head Coach,,7,687,108,165,0,0.396
209,Mike Diaz,Head Coach,,16,132,347,262,1,0.57
210,Mike Dickson,Head Coach,,11,658,313,132,0,0.703
211,Jason Dietrich,Head Coach,,5,109,103,130,0,0.442
212,Pat Dolan,Head Coach,,28,737,899,462,1,0.66
213,Robbie Dombowski,Head Coach,,4,183,59,64,0,0.48
214,Ryan Dorow,Head Coach,,2,335,15,32,0,0.319
215,Harley Douglas,Head Coach,,12,869,290,252,0,0.535
216,Terry Doyle,Head Coach,,8,528,105,137,0,0.434
217,Eric DuBose,Head Coach,,3,881,68,53,0,0.562
218,Adam Dukate,Head Coach,,5,382,56,97,0,0.366
219,Jeff Duncan,Head Coach,,13,371,395,245,0,0.617
220,Casey Dunn,Head Coach,,22,805,555,548,0,0.503
221,Michael Earley,Head Coach,,2,782,41,27,0,0.603
222,Brian Eberly,Head Coach,,5,214,67,91,1,0.425
223,Steve Eddie,Head Coach,,26,99,588,413,3,0.587
224,J.J. Edwards,Head Coach,,3,932,83,51,0,0.619
225,Pat Egan,Head Coach,,4,664,92,87,0,0.514
226,Pete Egbert,Head Coach,,24,486,633,351,2,0.643
227,Dean Ehehalt,Head Coach,,35,499,838,823,4,0.505
228,Jesse Eikum,Head Coach,,4,562,58,88,0,0.397
229,Josh Elander,Head Coach,,1,776,10,3,0,0.769
230,Matt Ellinghuysen,Head Coach,,5,68,21,182,0,0.103
231,Cody Ellis,Head Coach,,3,827,59,62,0,0.488
232,Matt Englander,Head Coach,,20,194,454,300,3,0.602
233,Rick Espeset,Head Coach,,30,431,696,508,2,0.578
234,David Esquer,Head Coach,,27,753,805,624,2,0.563
235,Scott Eul,Head Coach,,10,497,243,186,0,0.566
236,Pat Evers,Head Coach,,8,448,195,144,0,0.575
237,Brenden Eygabroat,Head Coach,,22,821,470,360,1,0.566
238,Jodi Faithfull,Head Coach,,1,435,5,24,0,0.172
239,Jason Falcon,Head Coach,,21,639,288,392,2,0.424
240,Roland Fanning,Head Coach,,4,51,111,73,0,0.603
