id,name,position,bio,tenure_at_school,team_id,wins,loss,ties,win_perc
444,Brian Kitamura,Head Coach,,11,903,187,203,0,0.479
445,Chris Klimas,Head Coach,,12,654,286,238,0,0.546
446,Steve Kline,Head Coach,,5,350,121,99,0,0.55
447,Ryan Klosterman,Head Coach,,7,97,163,121,2,0.573
448,Casey Klunder,Head Coach,,5,866,78,90,0,0.464
449,Paul Knight,Head Coach,,23,2258,616,538,1,0.534
450,Josh Knight,Head Coach,,3,103,9,69,0,0.115
451,Alex Koch,Head Coach,,12,875,254,254,0,0.5
452,John Kochmansky,Head Coach,,19,222,540,328,5,0.621
453,Fico Kondla,Head Coach,,3,166,54,64,0,0.458
454,Chad Konishi,Head Coach,,3,952,37,78,0,0.322
455,Bob Koopmann,Head Coach,,20,651,365,362,1,0.502
456,Kevin Kopple,Head Coach,,7,288,102,120,0,0.459
457,Conor Kortmann,Head Coach,,6,662,74,96,1,0.436
458,Matt Kosderka,Head Coach,,9,404,125,168,1,0.427
459,Andrew Kowalo,Head Coach,,2,699,34,28,0,0.548
460,Jacob Kraft,Head Coach,,2,81,11,31,0,0.262
461,Ryan Kragh,Head Coach,,22,75,412,335,0,0.552
462,Jake Krupar,Head Coach,,4,517,73,52,0,0.584
463,Karl Kuhn,Head Coach,,5,144,88,88,0,0.5
464,Ryan Kulik,Head Coach,,7,661,111,94,0,0.541
465,Bill Kurich,Head Coach,,20,877,612,241,0,0.717
466,Brandon Kusler,Head Coach,,1,555,0,5,0,0
467,Mike LaRosa,Head Coach,,15,882,369,228,3,0.618
468,Tyler LaTorre,Head Coach,,4,607,95,76,3,0.555
469,Scott Landers,Head Coach,,15,590,357,194,1,0.648
470,Chris Langan,Head Coach,,23,256,559,520,0,0.518
471,Jimmy Latona,Head Coach,,3,465,38,62,0,0.38
472,Mike Lauterhahn,Head Coach,,19,931,382,294,5,0.565
473,Scott Laverty,Head Coach,,27,142,609,438,1,0.582
474,Bradley LeCroy,Head Coach,,4,405,101,83,0,0.549
475,Sean Leary,Head Coach,,31,397,624,765,8,0.45
476,Larry Lee,Head Coach,,24,105,718,559,2,0.562
477,Kevin Leighton,Head Coach,,21,270,534,515,2,0.509
478,Darrin Lenhart,Head Coach,,1,235,5,1,0,0.833
479,Mike Leonard,Head Coach,,17,474,312,237,0,0.568
480,Kenny Leonesio,Head Coach,,23,754,529,582,3,0.476
481,Frank Leoni,Head Coach,,33,509,685,787,6,0.465
482,Neil Lerner,Head Coach,,7,180,110,143,0,0.435
483,Ryan Lewicki,Head Coach,,8,902,144,162,0,0.471
484,Andrew Liberty,Head Coach,,2,170,16,50,0,0.242
485,Scott Lieser,Head Coach,,1,667,2,1,0,0.667
486,Todd Lillpop,Head Coach,,25,381,532,590,0,0.474
487,Kyle Lindsay,Head Coach,,5,834,66,97,0,0.405
488,Brett Lindsay,Head Coach,,1,2259,1,7,0,0.125
489,Lee Lipinski,Head Coach,,2,645,37,21,0,0.638
490,Charlie Long,Head Coach,,26,912,551,515,5,0.517
491,Geoff Loomis,Head Coach,,24,619,563,463,3,0.549
492,Dave Lorber,Head Coach,,8,502,152,88,1,0.633
493,Scott Losche,Head Coach,,10,130,142,140,1,0.504
494,Sean Loyd,Head Coach,,12,889,292,214,0,0.577
495,Nick Luciano,Head Coach,,2,113,21,31,0,0.404
496,Paul Ludden,Head Coach,,6,769,63,103,0,0.38
497,Yogi Lutz,Head Coach,,40,22,1024,512,13,0.665
498,Stephen Lynn,Head Coach,,21,339,325,453,0,0.418
499,Sean Lyons,Head Coach,,10,705,193,258,1,0.428
500,Ryan MacFarlane,Head Coach,,3,389,41,40,1,0.506
501,Mark Machtolf,Head Coach,,23,299,626,535,2,0.539
502,Matt Magers,Head Coach,,18,484,686,219,1,0.758
503,Paul Mainieri,Head Coach,,41,710,1542,811,7,0.655
504,Steve Malinowski,Head Coach,,5,317,48,118,1,0.29
505,Scott Malone,Head Coach,,19,1,450,523,2,0.463
506,Rich Maloney,Head Coach,,31,56,1029,674,2,0.604
507,Greg Mamula,Head Coach,,7,204,218,133,0,0.621
508,Scott Manahan,Head Coach,,6,122,48,127,0,0.274
509,Henry Manning,Head Coach,,26,594,570,569,4,0.5
510,Marc Marizzaldi,Head Coach,,23,695,780,386,1,0.669
511,Matt Marsh,Head Coach,,1,659,1,0,0,1
512,Lance Marshall,Head Coach,,29,275,662,468,0,0.586
513,Chris Marston,Head Coach,,10,624,84,211,0,0.285
514,Jon Martin,Head Coach,,21,61,232,399,1,0.368
515,John Martin,Head Coach,,11,245,330,184,1,0.642
516,Jim Martin,Head Coach,,5,761,86,110,0,0.439
517,Jake Martin,Head Coach,,17,862,356,280,0,0.56
518,Chris Marx,Head Coach,,2,120,29,38,0,0.433
519,Ed Mathey,Head Coach,,33,544,802,698,4,0.535
520,Derek Matlock,Head Coach,,9,845,233,187,0,0.555
521,Mike Mauro,Head Coach,,18,755,325,290,1,0.528
522,Tim Mayo,Head Coach,,8,538,133,109,1,0.549
523,Matt Mazurek,Head Coach,,9,121,171,196,2,0.466
524,Trey McCall,Head Coach,,22,244,195,574,0,0.254
525,Rick McCarty,Head Coach,,8,2,208,162,0,0.562
526,Robbie McClellan,Head Coach,,8,540,155,178,1,0.466
527,John McCormack,Head Coach,,18,262,583,378,2,0.606
528,Rob McCoy,Head Coach,,18,910,325,500,4,0.394
529,Sean McDermott,Head Coach,,8,817,185,181,0,0.505
530,Ty McDevitt,Head Coach,,2,483,33,31,0,0.516
531,Matt McDonald,Head Coach,,32,748,679,454,0,0.599
532,Josh McDonald,Head Coach,,8,283,187,158,0,0.542
533,Dan McDonnell,Head Coach,,20,421,800,364,1,0.687
534,Blake McFadden,Head Coach,,1,196,2,4,0,0.333
535,Patrick McGaha,Head Coach,,25,315,712,533,1,0.572
536,Casey McGehee,Head Coach,,4,831,60,99,0,0.377
537,Mike McGuire,Head Coach,,17,919,518,387,1,0.572
538,Kyle McLain,Head Coach,,8,218,88,159,0,0.356
539,Tim Mead,Head Coach,,43,865,963,974,7,0.497
540,Skylar Meade,Head Coach,,5,799,153,96,0,0.614
541,Santiago Mendez,Head Coach,,4,585,28,88,0,0.241
542,Joe Mercadante,Head Coach,,3,547,56,65,1,0.463
543,Jeff Mercer,Head Coach,,10,349,289,194,1,0.598
544,Cody Mercier,Head Coach,,1,401,20,18,0,0.526
545,Troy Merriman,Head Coach,,1,791,2,9,0,0.182
546,Jeff Messer,Head Coach,,41,707,1159,762,5,0.603
547,Mason Meyer,Head Coach,,1,656,5,1,0,0.833
548,Jerry Meyers,Head Coach,,10,473,246,259,0,0.487
549,Matt Michalski,Head Coach,,2,375,16,21,0,0.432
550,Matt Midkiff,Head Coach,,17,771,315,277,4,0.532
551,Joe Milazzo,Head Coach,,13,844,187,219,3,0.461
552,David Miller,Head Coach,,8,949,161,179,0,0.474
553,Miles Miller,Head Coach,,2,670,11,17,0,0.393
554,A.J. Miller,Head Coach,,4,384,43,114,0,0.274
555,Nick Mingione,Head Coach,,10,372,304,194,0,0.61
556,Chris Moddelmog,Head Coach,,4,724,86,83,0,0.509
557,Clint Mokry,Head Coach,,4,176,96,53,0,0.644
558,Endy Morales,Head Coach,,2,193,25,50,0,0.333
559,Adrian Morales,Head Coach,,3,567,59,50,0,0.541
560,Merrill Morgan,Head Coach,,23,857,394,468,1,0.457
561,Eddy Morgan,Head Coach,,20,178,354,384,0,0.48
562,Chris Morris,Head Coach,,7,494,125,82,0,0.604
563,Tyler Mott,Head Coach,,19,577,325,356,1,0.477
564,Jeff Mountain,Head Coach,,24,867,669,323,2,0.674
565,Jon Mueller,Head Coach,,27,806,522,737,8,0.415
566,Scott Mularz,Head Coach,,5,518,68,81,1,0.457
567,Nate Mulberg,Head Coach,,1,362,6,2,0,0.75
568,John Muller,Head Coach,,9,830,148,155,0,0.488
569,James Mullins,Head Coach,,13,297,246,309,0,0.443
570,Kevin Mulvey,Head Coach,,10,855,142,262,1,0.352
571,Michael Mulvey,Head Coach,,2,313,25,27,0,0.481
572,Brian Murphy,Head Coach,,13,466,279,332,2,0.457
573,Corey Muscara,Head Coach,,1,217,12,3,0,0.8
574,Mike Nadeau,Head Coach,,8,191,166,182,0,0.477
575,Scott Nasby,Head Coach,,14,215,375,279,1,0.573
576,Ross Natoli,Head Coach,,41,128,840,700,18,0.545
577,Jim Neidlinger,Head Coach,,7,674,29,152,0,0.16
578,Brian Nelson,Head Coach,,2,569,20,52,0,0.278
579,Mike Neu,Head Coach,,11,114,260,252,0,0.508
580,Eric Newman,Head Coach,,18,810,546,367,0,0.598
581,Jeff Newman,Head Coach,,13,513,188,254,2,0.426
582,Tommy Nicholson,Head Coach,,5,807,84,134,0,0.385
583,Jordan Niespodziany,Head Coach,,2,209,15,28,0,0.349
584,Kirk Nieuwenhuis,Head Coach,,5,53,125,107,0,0.539
585,Bryan Nikkel,Head Coach,,12,424,265,189,0,0.584
586,Ray Noe,Head Coach,,2,417,25,40,0,0.385
587,Matt Noone,Head Coach,,24,54,526,340,2,0.607
588,Joey Noro,Head Coach,,1,115,4,3,0,0.571
589,Michael Notebaert,Head Coach,,17,463,329,263,2,0.556
590,Craig Noto,Head Coach,,5,863,107,118,0,0.476
591,Matt O'Brien,Head Coach,,7,482,82,104,0,0.441
592,Billy O'Conner,Head Coach,,9,937,219,215,0,0.505
593,Brian O'Connor,Head Coach,,23,488,929,390,2,0.704
594,Rick O'Dette,Head Coach,,26,263,723,551,5,0.567
595,Paul O'Neil,Head Coach,,30,828,906,563,1,0.617
596,Kevin O'Sullivan,Head Coach,,19,265,769,372,0,0.674
597,Tyler Oakes,Head Coach,,5,546,96,124,1,0.437
598,T.J. Oakes,Head Coach,,5,928,83,78,0,0.516
599,Mike Odenwaelder,Head Coach,,4,226,96,42,0,0.696
600,Chris Olean,Head Coach,,17,750,416,266,1,0.61
601,Rick Oliveri,Head Coach,,4,425,46,79,0,0.368
602,Ben Orloff,Head Coach,,8,808,254,119,0,0.681
603,Keith Osik,Head Coach,,20,253,454,294,0,0.607
604,Christian Ostrander,Head Coach,,3,722,101,38,0,0.727
605,Mike Ott,Head Coach,,14,365,291,222,1,0.567
606,Ryan Overland,Head Coach,,4,280,101,89,0,0.532
607,Steve Owens,Head Coach,,35,660,1081,611,3,0.639
608,Larry Owens,Head Coach,,10,732,213,230,0,0.481
609,Matt Padgett,Head Coach,,1,59,3,11,0,0.214
610,Jim Page,Head Coach,,38,478,886,625,3,0.586
611,Trevor Paine,Head Coach,,8,963,206,133,1,0.607
612,Matt Palm,Head Coach,,20,259,566,318,2,0.64
613,Kyle Palmer,Head Coach,,7,783,137,94,0,0.593
614,Vaughn Parker,Head Coach,,3,916,29,49,1,0.373
615,Matt Parrington,Head Coach,,27,428,403,526,2,0.434
616,Kevin Paxson,Head Coach,,3,221,28,88,0,0.241
617,Rich Pecoraro,Head Coach,,2,741,5,25,0,0.167
618,Rob Pegg,Head Coach,,21,1010,492,544,2,0.475
619,Jeff Pelkey,Head Coach,,1,293,6,12,0,0.333
620,Ford Pemberton,Head Coach,,1,820,8,7,0,0.533
621,Jim Penders,Head Coach,,23,816,778,503,5,0.607
622,Joe Pennucci,Head Coach,,9,248,240,164,0,0.594
623,Dan Pepicelli,Head Coach,,21,182,334,373,3,0.473
624,Bobby Perez,Head Coach,,2,243,36,20,0,0.643
625,Frank Pericolosi,Head Coach,,23,618,557,343,1,0.619
626,C.J. Perry,Head Coach,,9,905,155,160,0,0.492
627,Dean Peterson,Head Coach,,3,143,71,47,0,0.602
628,Torry Peterson,Head Coach,,3,751,38,54,0,0.413
629,Justin Pettigrew,Head Coach,,10,716,318,154,0,0.674
630,Dizzy Peyton,Head Coach,,5,554,122,115,0,0.515
631,Chris Pfatenhauer,Head Coach,,16,842,414,365,1,0.531
632,Paul Phillips,Head Coach,,4,402,67,75,0,0.472
633,Justin Phillips,Head Coach,,2,2242,24,44,0,0.353
634,David Pierce,Head Coach,,15,643,514,300,0,0.631
635,Davin Pierre,Head Coach,,5,301,110,122,0,0.474
636,Adam Piotrowicz,Head Coach,,4,665,107,68,0,0.611
637,Dan Pirillo,Head Coach,,10,413,222,221,0,0.501
638,Ron Plourde,Head Coach,,27,706,483,495,4,0.494
639,Chris Pollard,Head Coach,,27,856,817,616,3,0.57
640,Elton Pollock,Head Coach,,22,622,432,692,1,0.384
641,Nick Pontari,Head Coach,,5,764,83,89,1,0.483
642,Nick Popp,Head Coach,,1,390,12,7,0,0.632
643,Brent Porche,Head Coach,,14,840,456,224,0,0.671
644,Evan Porter,Head Coach,,10,586,179,256,2,0.412
645,Adam Posey,Head Coach,,7,224,70,129,0,0.352
646,Johnny Poss,Head Coach,,7,155,141,74,0,0.656
647,Kevin Post,Head Coach,,3,387,21,62,0,0.253
648,Brandon Potter,Head Coach,,17,739,455,214,1,0.68
649,George Powell,Head Coach,,27,591,623,447,1,0.582
650,Landon Powell,Head Coach,,12,549,450,147,1,0.753
651,Jad Prachniak,Head Coach,,13,542,338,239,2,0.585
652,Trent Pratt,Head Coach,,5,101,95,101,0,0.485
653,Riley Price,Head Coach,,7,230,103,174,0,0.372
654,D.J. Price,Head Coach,,2,58,36,32,0,0.529
655,Phil Price,Head Coach,,3,934,51,64,0,0.443
656,Bob Prince,Head Coach,,15,822,264,267,2,0.497
657,Frank Pufall,Head Coach,,10,72,93,235,0,0.284
658,Trevor Purcell,Head Coach,,4,514,48,75,1,0.391
659,J.P. Pyne,Head Coach,,19,24,326,283,3,0.535
660,Sam Quinn-Loeb,Head Coach,,5,615,74,76,0,0.493
661,Brian Raabe,Head Coach,,15,76,357,187,0,0.656
662,Alex Raburn,Head Coach,,1,826,6,7,0,0.462
663,Craig Rainey,Head Coach,,33,5,848,511,0,0.624
664,John Raiola,Head Coach,,6,238,79,97,0,0.449
665,Chris Ramirez,Head Coach,,13,720,388,236,1,0.622
666,James Ramsey,Head Coach,,1,295,12,1,0,0.923
667,Marc Rardin,Head Coach,,4,893,122,69,0,0.639
668,Nate Rasmussen,Head Coach,,2,843,38,35,0,0.521
669,Lance Ratchford,Head Coach,,8,438,122,165,0,0.425
670,Ian Ratchford,Head Coach,,2,13,21,45,0,0.318
671,Brett Ratcliffe,Head Coach,,2,796,15,33,0,0.313
672,Jason Rathbun,Head Coach,,4,736,50,107,0,0.318
673,Johnathan Ray,Head Coach,,5,570,48,104,1,0.317
674,Robbie Rea,Head Coach,,1,139,10,7,0,0.588
675,Al Ready,Head Coach,,8,818,206,150,0,0.579
676,Stein Rear,Head Coach,,16,124,229,313,0,0.423
677,Chris Reardon,Head Coach,,19,631,381,360,1,0.514
678,Sherman Reed,Head Coach,,16,181,194,490,2,0.284
679,Ben Reel,Head Coach,,17,64,561,316,1,0.64
680,Patrick Reilly,Head Coach,,3,921,23,60,0,0.277
681,Joe Reina,Head Coach,,24,650,505,390,2,0.564
682,Rob Reinstetle,Head Coach,,7,792,147,169,0,0.465
683,Brian Reitnour,Head Coach,,15,336,205,285,0,0.418
684,Scott Renauro,Head Coach,,8,225,99,145,0,0.406
685,Jeremy Renna,Head Coach,,2,939,1,29,0,0.033
686,Anthony Renz,Head Coach,,3,179,38,43,0,0.469
687,Brooks Repking,Head Coach,,4,749,67,57,0,0.54
688,Matt Reynolds,Head Coach,,11,880,180,268,3,0.402
689,Grant Reynolds,Head Coach,,4,1083,26,100,0,0.206
690,Lance Rhodes,Head Coach,,7,719,200,123,0,0.619
691,Nat Richter,Head Coach,,6,926,150,80,0,0.652
692,Matt Richter,Head Coach,,4,131,53,112,0,0.321
693,Bob Rients,Head Coach,,21,480,433,505,0,0.462
694,Matthew Rienzi,Head Coach,,2,161,17,19,0,0.472
695,Auntwan Riggins,Head Coach,,11,621,179,310,0,0.366
696,Matt Righter,Head Coach,,13,758,161,233,2,0.409
697,Tom Riley,Head Coach,,10,298,210,211,1,0.499
698,Patrick Riley,Head Coach,,7,899,101,109,0,0.481
699,Ryan Rinsky,Head Coach,,8,635,139,98,1,0.586
700,Brett Ripley,Head Coach,,4,199,19,138,0,0.121
701,Matt Riser,Head Coach,,13,461,368,298,0,0.553
702,Chuck Ristano,Head Coach,,3,522,62,51,0,0.549
703,Gregg Ritchie,Head Coach,,14,290,335,343,0,0.494
704,Matt Rix,Head Coach,,8,14,97,165,0,0.37
705,Mike Rizzo,Head Coach,,27,904,425,591,5,0.419
706,Matthew Roberts,Head Coach,,10,475,216,183,1,0.541
707,Sam Roberts,Head Coach,,4,859,90,86,0,0.511
708,Michael Robertson,Head Coach,,24,784,562,640,0,0.468
709,Patrick Robey,Head Coach,,1,63,9,0,0,1
710,Matthew Robinson,Head Coach,,4,727,39,129,0,0.232
711,Mike Rocco,Head Coach,,16,42,211,364,3,0.368
712,Jesse Rodgers,Head Coach,,4,79,79,91,1,0.465
713,Ruben Rodriguez,Head Coach,,2,778,26,42,0,0.382
714,Chris Rodriguez,Head Coach,,1,343,9,4,0,0.692
715,Nathan Roling,Head Coach,,10,703,119,201,0,0.372
716,Manny Roman,Head Coach,,4,254,75,93,1,0.447
717,Andrew Romanella,Head Coach,,4,133,53,70,1,0.431
718,Chandler Rose,Head Coach,,16,503,407,341,0,0.544
719,Chris Rose,Head Coach,,2,505,19,46,0,0.292
720,Adam Rosen,Head Coach,,5,656,104,73,0,0.588
721,Steven Rosen,Head Coach,,2,432,25,33,0,0.431
722,Matt Royer,Head Coach,,28,307,712,509,0,0.583
723,Hunter Royer,Head Coach,,17,10,452,324,2,0.582
724,Tyler Rubasky,Head Coach,,1,25,4,4,1,0.5
725,Nic Rush,Head Coach,,5,146,75,86,0,0.466
726,Kirk Saarloos,Head Coach,,5,775,161,92,0,0.636
727,Steve Sabins,Head Coach,,2,888,52,18,0,0.743
728,Jake Sabol,Head Coach,,11,137,249,227,1,0.523
729,Chase Sain,Head Coach,,6,795,173,104,0,0.625
730,Steve Sakosits,Head Coach,,16,219,299,267,0,0.528
731,Andy Salvatore,Head Coach,,10,57,76,185,1,0.292
732,Will Sanborn,Head Coach,,34,743,853,487,6,0.636
733,Lincoln Sanborn,Head Coach,,0,743,0,0,0,0
734,Brad Sanfilippo,Head Coach,,9,688,176,233,0,0.43
735,Adrian Santiago,Head Coach,,2,511,34,21,0,0.618
736,John Savage,Head Coach,,25,815,822,567,3,0.592
737,Andy Sawyers,Head Coach,,10,713,254,229,0,0.526
738,Justin Scali,Head Coach,,10,609,217,142,1,0.604
739,Tim Scannell,Head Coach,,28,798,883,333,0,0.726
740,Mike Scappa,Head Coach,,15,940,284,259,2,0.523
741,Joe Schaefer,Head Coach,,19,558,558,358,2,0.609
742,Joe Schaly,Head Coach,,33,789,649,662,1,0.495
743,John Schaly,Head Coach,,39,41,1356,745,4,0.645
744,Erik Scherer,Head Coach,,3,104,64,33,0,0.66
745,Matt Schissel,Head Coach,,5,632,149,94,0,0.613
746,Jim Schlossnagle,Head Coach,,25,781,1002,469,0,0.681
747,Brian Schmack,Head Coach,,13,851,217,377,0,0.365
748,Kevin Schnall,Head Coach,,2,163,63,18,0,0.778
749,Chris Schoen,Head Coach,,10,464,165,221,2,0.428
750,Rob Schrier,Head Coach,,1,642,9,2,0,0.818
751,Andy Schwall,Head Coach,,10,920,96,217,0,0.307
752,Chris Schwarz,Head Coach,,21,922,534,341,2,0.61
753,Thomas Seay,Head Coach,,8,767,111,111,0,0.5
754,Colt Sedbrook,Head Coach,,3,187,44,45,0,0.494
755,Andrew See,Head Coach,,1,573,2,11,0,0.154
756,Ed Servais,Head Coach,,31,186,907,507,2,0.641
757,Chad Shade,Head Coach,,1,734,1,1,0,0.5
758,Cole Shaffer,Head Coach,,1,948,5,3,0,0.625
759,Phill Shallenberger,Head Coach,,9,467,178,135,1,0.568
760,Chris Shank,Head Coach,,10,723,217,132,1,0.621
761,Tim Shea,Head Coach,,25,718,619,437,8,0.586
762,Jon Shehan,Head Coach,,19,476,649,289,1,0.692
763,Rob Sheppard,Head Coach,,23,694,571,562,3,0.504
764,Jamie Shevchik,Head Coach,,25,376,739,307,0,0.707
765,Brandon Shileikis,Head Coach,,1,452,4,2,0,0.667
766,Ryan Shotzberger,Head Coach,,7,819,129,162,0,0.443
767,Jamey Shouppe,Head Coach,,13,266,229,327,0,0.412
768,Mike Silva,Head Coach,,5,37,135,102,0,0.57
769,Doug Simons,Head Coach,,20,185,344,416,0,0.453
770,Tim Sinicki,Head Coach,,34,78,729,753,9,0.492
771,Jay Sirianni,Head Coach,,7,682,158,156,0,0.503
772,Jon Sjogren,Head Coach,,36,655,902,757,6,0.544
773,Tad Skelley,Head Coach,,4,853,36,77,0,0.319
774,Dan Skirka,Head Coach,,8,516,219,155,0,0.586
775,Ray Skjold,Head Coach,,8,620,159,143,0,0.526
776,Adam Skonieczki,Head Coach,,4,400,87,55,1,0.612
777,Brian Smiley,Head Coach,,3,470,70,54,0,0.565
778,Kermit Smith,Head Coach,,25,29,676,615,2,0.524
779,Matt Smith,Head Coach,,1,177,2,6,0,0.25
780,Bob Smith,Head Coach,,1,149,3,10,0,0.231
781,Fuller Smith,Head Coach,,3,773,63,66,0,0.488
782,Eddie Smith,Head Coach,,5,870,113,127,0,0.471
783,Jimmy Smith,Head Coach,,3,648,36,66,0,0.353
784,Jeff Smith,Head Coach,,7,884,130,137,0,0.487
785,Jerry Smith,Head Coach,,15,530,190,311,2,0.38
786,Adam Smith,Head Coach,,16,70,419,201,0,0.676
787,Tracy Smith,Head Coach,,29,471,905,696,1,0.565
788,Jay Snyder,Head Coach,,2,534,36,34,0,0.514
789,Nolan Soete,Head Coach,,11,597,208,181,0,0.535
790,Alex Sogard,Head Coach,,8,936,228,140,0,0.62
791,Clemente Sosa,Head Coach,,1,361,4,10,0,0.286
792,Dan Spain,Head Coach,,15,216,390,291,1,0.573
793,Matt Spatafora,Head Coach,,2,536,20,36,0,0.357
794,Tanner Spencer,Head Coach,,7,442,123,144,0,0.461
795,Lance Spongberg,Head Coach,,1,535,3,14,0,0.176
796,Ben Spotts,Head Coach,,14,94,249,244,2,0.505
797,Robert Spratt,Head Coach,,19,147,345,392,1,0.468
798,Andy Stankiewicz,Head Coach,,15,717,455,313,3,0.592
799,Bryan Stark,Head Coach,,1,801,16,21,0,0.432
800,Mike Stawski,Head Coach,,14,444,357,199,1,0.642
801,Gene Stechschulte,Head Coach,,15,575,311,220,0,0.586
802,Brandon Steele,Head Coach,,8,803,166,166,0,0.5
803,Rod Stephan,Head Coach,,15,583,292,230,3,0.559
804,Adam Stevens,Head Coach,,23,49,575,336,0,0.631
805,Ryan Stevens,Head Coach,,7,765,62,117,0,0.346
806,Shawn Stiffler,Head Coach,,14,565,436,271,0,0.617
807,Mike Stockton,Head Coach,,25,911,716,543,1,0.569
808,Stan Stolte,Head Coach,,11,832,258,250,0,0.508
809,Desi Storey,Head Coach,,35,140,733,858,2,0.461
810,Logan Stout,Head Coach,,2,35,24,43,0,0.358
811,Heath Stover,Head Coach,,9,415,111,196,1,0.362
812,Ryan Strain,Head Coach,,9,512,238,162,0,0.595
813,Bernie Stratchko,Head Coach,,10,745,93,156,2,0.375
814,Austin Straub,Head Coach,,4,1056,50,63,0,0.442
815,Brad Stromdahl,Head Coach,,14,294,476,270,0,0.638
816,Noah Suarez,Head Coach,,4,249,46,72,0,0.39
817,Zach Sugar,Head Coach,,0,341,0,0,0,0
818,Alan Sumner,Head Coach,,38,287,716,750,4,0.488
819,John Susi,Head Coach,,25,890,341,554,2,0.381
820,Paul Svagdis,Head Coach,,30,951,862,512,2,0.627
821,Pedro Swann,Head Coach,,4,205,28,125,0,0.183
822,Kane Sweeney,Head Coach,,2,837,43,32,0,0.573
823,Aaron Swick,Head Coach,,18,933,360,295,2,0.549
824,Kelly Swiney,Head Coach,,18,445,348,269,1,0.564
825,Matt Swope,Head Coach,,3,446,69,55,0,0.556
826,Drake Sykes,Head Coach,,1,379,0,3,0,0
827,John Szefc,Head Coach,,21,858,622,438,4,0.586
828,Tim Tadlock,Head Coach,,14,786,480,280,0,0.632
829,Jeff Tam,Head Coach,,5,268,103,109,0,0.486
830,Adam Taraska,Head Coach,,12,626,164,217,0,0.43
831,David Taylor,Head Coach,,23,148,716,442,1,0.618
832,Rucker Taylor,Head Coach,,8,198,197,150,0,0.568
833,Carl Tebon,Head Coach,,34,418,667,610,4,0.522
834,Dave Therneau,Head Coach,,2,240,33,31,0,0.516
835,Jason Thiel,Head Coach,,11,450,134,177,0,0.431
836,Chuck Thielmann,Head Coach,,3,30,63,33,0,0.656
837,R.J. Thomas,Head Coach,,16,325,296,342,1,0.464
838,Edwin Thompson,Head Coach,,13,291,287,298,0,0.491
839,Sean Thompson,Head Coach,,2,854,22,45,0,0.328
840,Mitch Thompson,Head Coach,,4,62,81,94,0,0.463
841,Butch Thompson,Head Coach,,11,43,334,235,1,0.587
842,Kevin Tidey,Head Coach,,15,197,490,256,0,0.657
843,Wes Timmons,Head Coach,,11,701,247,215,0,0.535
844,Dan Tischler,Head Coach,,0,901,0,0,0,0
845,Dave Tollett,Head Coach,,24,258,784,484,3,0.618
846,Kevin Tomasiewicz,Head Coach,,13,923,262,203,1,0.563
847,Joseph Tonelli,Head Coach,,27,93,410,561,5,0.423
848,Jose Torres,Head Coach,,19,60,260,350,2,0.426
849,Loren Torres,Head Coach,,22,965,544,303,2,0.642
850,Bryan Torresani,Head Coach,,12,210,269,160,0,0.627
851,Brandon Townsend,Head Coach,,13,477,251,229,0,0.523
852,Ross Trachtenberg,Head Coach,,5,657,46,104,0,0.307
853,Chris Tracz,Head Coach,,17,39,417,354,2,0.541
854,Mike Trapasso,Head Coach,,22,838,560,573,0,0.494
855,Alan Trayler,Head Coach,,2,715,34,35,0,0.493
856,Steve Trimper,Head Coach,,28,756,769,672,3,0.534
857,Sean Trindall,Head Coach,,2,272,30,47,0,0.39
858,Russell Triplett,Head Coach,,16,788,454,309,1,0.595
859,Steven Trout,Head Coach,,7,785,182,139,0,0.567
860,Joe Turgeon,Head Coach,,11,192,232,240,1,0.492
861,Matt Tyner,Head Coach,,10,793,182,317,0,0.365
862,Kevin Tyrrell,Head Coach,,5,814,99,81,0,0.55
863,Billy Uberti,Head Coach,,6,392,95,96,0,0.497
864,Jay Uhlman,Head Coach,,5,802,99,102,0,0.493
865,Zach Ullrich,Head Coach,,6,151,124,106,1,0.539
866,Brock Ungricht,Head Coach,,5,684,137,94,1,0.593
867,Jacob Upwood,Head Coach,,2,596,23,28,0,0.451
868,Joe Urso,Head Coach,,26,772,1077,298,1,0.783
869,Eric Valenzuela,Head Coach,,13,672,358,277,0,0.564
870,David Valesente,Head Coach,,10,354,185,138,1,0.573
871,Dave Van Horn,Head Coach,,33,36,1314,643,0,0.671
872,Kevin Vance,Head Coach,,1,685,8,5,0,0.615
873,Clayton VanderLaan,Head Coach,,4,338,62,59,0,0.512
874,Matt Vanderburg,Head Coach,,18,697,543,329,0,0.623
875,Rob Vaughn,Head Coach,,9,8,268,162,0,0.623
876,Jose Vazquez,Head Coach,,10,11,267,201,0,0.571
877,Nick Vennochi,Head Coach,,10,241,71,208,0,0.254
878,Tom Vessella,Head Coach,,5,328,98,115,0,0.46
879,Mike Victory,Head Coach,,7,334,95,118,0,0.446
880,John Vodenlich,Head Coach,,25,929,807,278,1,0.744
881,Brian Voigt,Head Coach,,3,833,41,69,0,0.373
882,Mike Vucsko,Head Coach,,5,403,122,100,1,0.549
883,Jacob Waddle,Head Coach,,8,346,120,131,0,0.478
884,Derek Waddoups,Head Coach,,7,501,127,155,1,0.451
885,Stephen Waggener,Head Coach,,9,941,267,143,0,0.651
886,Bill Walkenbach,Head Coach,,20,154,394,346,2,0.532
887,Kellen Walker,Head Coach,,13,896,330,222,0,0.598
888,Greg Wallace,Head Coach,,33,46,872,428,2,0.671
