rank,teamSeasonId,teamName,conference,record,rpi,sport,division,date
150,,Wichita St.,American,25-20,0.51623,baseball,D1,04/30/2026
151,,Richmond,Atlantic 10,25-19,0.51299,baseball,D1,04/30/2026
152,,SIUE,Ohio Valley,24-21,0.50974,baseball,D1,04/30/2026
153,,James Madison,Sun Belt,18-25,0.50649,baseball,D1,04/30/2026
154,,Bryant,America East,22-19,0.50325,baseball,D1,04/30/2026
155,,Charleston So.,Big South,24-19,0.50000,baseball,D1,04/30/2026
156,,Longwood,Big South,26-19,0.49675,baseball,D1,04/30/2026
157,,Austin Peay,ASUN,21-23,0.49351,baseball,D1,04/30/2026
158,,North Florida,ASUN,24-19,0.49026,baseball,D1,04/30/2026
159,,Air Force,Mountain West,21-21,0.48701,baseball,D1,04/30/2026
160,,VMI,Southern,27-17,0.48377,baseball,D1,04/30/2026
161,,UNCG,Southern,17-28,0.48052,baseball,D1,04/30/2026
162,,Wright St.,Horizon League,19-22,0.47727,baseball,D1,04/30/2026
163,,Sam Houston,Conference USA,20-25,0.47403,baseball,D1,04/30/2026
164,,Penn,Ivy League,18-19,0.47078,baseball,D1,04/30/2026
165,,Fla. Atlantic,American,22-22,0.46753,baseball,D1,04/30/2026
166,,North Alabama,ASUN,23-20,0.46429,baseball,D1,04/30/2026
167,,Stony Brook,Coastal Athletic,17-25,0.46104,baseball,D1,04/30/2026
168,,Abilene Christian,Western Athletic,21-23,0.45779,baseball,D1,04/30/2026
169,,UC Davis,Big West,20-24,0.45455,baseball,D1,04/30/2026
170,,Gardner-Webb,,21-24,0.45130,baseball,D1,04/30/2026
171,,Bucknell,Patriot League,22-21,0.44805,baseball,D1,04/30/2026
172,,Arizona,Big 12,16-27,0.44481,baseball,D1,04/30/2026
173,,Western Mich.,Mid-American,21-18,0.44156,baseball,D1,04/30/2026
174,,William & Mary,,19-23,0.43831,baseball,D1,04/30/2026
175,,Washington,Big Ten,19-24,0.43506,baseball,D1,04/30/2026
176,,Marshall,Sun Belt,20-24,0.43182,baseball,D1,04/30/2026
177,,Houston Christian,Southland,19-24,0.42857,baseball,D1,04/30/2026
178,,New Mexico St.,Conference USA,17-24,0.42532,baseball,D1,04/30/2026
179,,McNeese,Southland,21-22,0.42208,baseball,D1,04/30/2026
180,,Yale,Ivy League,23-13-1,0.41883,baseball,D1,04/30/2026
181,,Fordham,Atlantic 10,22-24,0.41558,baseball,D1,04/30/2026
182,,Bowling Green,Mid-American,14-26,0.41234,baseball,D1,04/30/2026
183,,Fairfield,MAAC,21-17,0.40909,baseball,D1,04/30/2026
184,,Col. of Charleston,Coastal Athletic,20-23,0.40584,baseball,D1,04/30/2026
185,,Davidson,Atlantic 10,23-19,0.40260,baseball,D1,04/30/2026
186,,Toledo,Mid-American,21-24,0.39935,baseball,D1,04/30/2026
187,,UNLV,Mountain West,24-20,0.39610,baseball,D1,04/30/2026
188,,George Mason,Atlantic 10,19-23,0.39286,baseball,D1,04/30/2026
189,,Princeton,Ivy League,15-24,0.38961,baseball,D1,04/30/2026
190,,San Jose St.,Mountain West,18-24,0.38636,baseball,D1,04/30/2026
191,,Niagara,MAAC,20-15-1,0.38312,baseball,D1,04/30/2026
192,,Army West Point,Patriot League,26-17,0.37987,baseball,D1,04/30/2026
193,,SFA,,23-22,0.37662,baseball,D1,04/30/2026
194,,Columbia,Ivy League,13-21-1,0.37338,baseball,D1,04/30/2026
195,,Bethune-Cookman,,31-14,0.37013,baseball,D1,04/30/2026
196,,Dayton,Atlantic 10,25-19,0.36688,baseball,D1,04/30/2026
197,,Evansville,Missouri Valley,16-26,0.36364,baseball,D1,04/30/2026
198,,New Mexico,Mountain West,24-18-1,0.36039,baseball,D1,04/30/2026
199,,Middle Tenn.,Conference USA,22-23,0.35714,baseball,D1,04/30/2026
200,,CSUN,Big West,23-20,0.35390,baseball,D1,04/30/2026
201,,Stetson,ASUN,18-26,0.35065,baseball,D1,04/30/2026
202,,Penn St.,Big Ten,12-29,0.34740,baseball,D1,04/30/2026
203,,San Diego,West Coast,16-25,0.34416,baseball,D1,04/30/2026
204,,Rhode Island,Atlantic 10,18-26,0.34091,baseball,D1,04/30/2026
205,,Navy,Patriot League,29-15,0.33766,baseball,D1,04/30/2026
206,,FIU,Conference USA,15-29,0.33442,baseball,D1,04/30/2026
207,,Florida A&M,,21-19,0.33117,baseball,D1,04/30/2026
208,,Wagner,NEC,22-19,0.32792,baseball,D1,04/30/2026
209,,Lipscomb,ASUN,19-22,0.32468,baseball,D1,04/30/2026
210,,Incarnate Word,Southland,18-24,0.32143,baseball,D1,04/30/2026
211,,Brown,Ivy League,20-16,0.31818,baseball,D1,04/30/2026
212,,Southern Ind.,Ohio Valley,23-22,0.31494,baseball,D1,04/30/2026
213,,Elon,Coastal Athletic,17-26,0.31169,baseball,D1,04/30/2026
214,,Southern U.,SWAC,18-21,0.30844,baseball,D1,04/30/2026
215,,Pepperdine,West Coast,17-26,0.30519,baseball,D1,04/30/2026
216,,UMBC,America East,20-19,0.30195,baseball,D1,04/30/2026
217,,Grand Canyon,Mountain West,16-26,0.29870,baseball,D1,04/30/2026
218,,Holy Cross,Patriot League,20-25,0.29545,baseball,D1,04/30/2026
219,,Quinnipiac,MAAC,20-22,0.29221,baseball,D1,04/30/2026
220,,Ball St.,Mid-American,19-23,0.28896,baseball,D1,04/30/2026
221,,Ga. Southern,Sun Belt,13-32,0.28571,baseball,D1,04/30/2026
222,,Belmont,Missouri Valley,17-28,0.28247,baseball,D1,04/30/2026
223,,CSU Bakersfield,Big West,18-25,0.27922,baseball,D1,04/30/2026
224,,New Orleans,Southland,18-29,0.27597,baseball,D1,04/30/2026
225,,Bellarmine,ASUN,17-26,0.27273,baseball,D1,04/30/2026
226,,Alabama St.,SWAC,23-19,0.26948,baseball,D1,04/30/2026
227,,Marist,MAAC,17-25,0.26623,baseball,D1,04/30/2026
228,,Butler,Big East,16-28,0.26299,baseball,D1,04/30/2026
229,,South Dakota St.,The Summit League,12-25,0.25974,baseball,D1,04/30/2026
230,,Sacred Heart,MAAC,14-25,0.25649,baseball,D1,04/30/2026
231,,Santa Clara,West Coast,16-27,0.25325,baseball,D1,04/30/2026
232,,Delaware,Conference USA,14-31,0.25000,baseball,D1,04/30/2026
233,,UMass Lowell,,16-24,0.24675,baseball,D1,04/30/2026
234,,Southern Ill.,Missouri Valley,17-26,0.24351,baseball,D1,04/30/2026
235,,Queens (NC),ASUN,12-31,0.24026,baseball,D1,04/30/2026
236,,Siena,MAAC,16-25,0.23701,baseball,D1,04/30/2026
237,,Western Ill.,Ohio Valley,13-28,0.23377,baseball,D1,04/30/2026
238,,Central Mich.,Mid-American,17-23,0.23052,baseball,D1,04/30/2026
239,,Merrimack,MAAC,17-25,0.22727,baseball,D1,04/30/2026
240,,UMass,Mid-American,14-23,0.22403,baseball,D1,04/30/2026
241,,North Dakota St.,The Summit League,9-26,0.22078,baseball,D1,04/30/2026
242,,Towson,Coastal Athletic,17-25,0.21753,baseball,D1,04/30/2026
243,,UT Martin,,20-23,0.21429,baseball,D1,04/30/2026
244,,FDU,NEC,26-15-1,0.21104,baseball,D1,04/30/2026
245,,Tennessee Tech,Ohio Valley,16-30,0.20779,baseball,D1,04/30/2026
246,,Stonehill,NEC,18-21,0.20455,baseball,D1,04/30/2026
247,,Cornell,Ivy League,10-24,0.20130,baseball,D1,04/30/2026
248,,Pacific,West Coast,17-25,0.19805,baseball,D1,04/30/2026
249,,UIC,Missouri Valley,18-23-1,0.19481,baseball,D1,04/30/2026
250,,Harvard,Ivy League,8-26,0.19156,baseball,D1,04/30/2026
251,,Eastern Mich.,Mid-American,13-29,0.18831,baseball,D1,04/30/2026
252,,Seton Hall,Big East,14-22,0.18506,baseball,D1,04/30/2026
253,,San Francisco,West Coast,20-22,0.18182,baseball,D1,04/30/2026
254,,Dartmouth,Ivy League,13-21,0.17857,baseball,D1,04/30/2026
255,,Iona,MAAC,15-22,0.17532,baseball,D1,04/30/2026
256,,West Ga.,ASUN,11-34,0.17208,baseball,D1,04/30/2026
257,,Omaha,The Summit League,14-21,0.16883,baseball,D1,04/30/2026
258,,Loyola Marymount,,12-34,0.16558,baseball,D1,04/30/2026
259,,Georgetown,Big East,22-23,0.16234,baseball,D1,04/30/2026
260,,Milwaukee,Horizon League,15-27,0.15909,baseball,D1,04/30/2026
261,,Long Beach St.,Big West,14-29,0.15584,baseball,D1,04/30/2026
