rank,team,conference,record,rating,sport,date
193,"Portland St","Big Sky","14-32","1986.37",softball,2026-06-10
194,"Harvard","Ivy League","21-23-1","1757.02",softball,2026-06-10
195,"Mercer","Southern","20-30","2006.29",softball,2026-06-10
196,"Lehigh","Patriot League","26-28","1786.94",softball,2026-06-10
197,"SE Missouri St","OH Valley","23-30","1776.95",softball,2026-06-10
198,"Colgate","Patriot League","29-26","2215.83",softball,2026-06-10
199,"Brown","Ivy League","21-24","2026.19",softball,2026-06-10
200,"UTEP","Conference USA","12-37","1886.62",softball,2026-06-10
201,"St Louis","Atlantic 10","23-28","1806.85",softball,2026-06-10
202,"Toledo","Mid-American","15-35","1836.70",softball,2026-06-10
203,"Valparaiso","Missouri Val","22-30","2245.73",softball,2026-06-10
204,"Robert Morris","Horizon","31-18","1866.63",softball,2026-06-10
205,"DePaul","Big East","20-30","2255.68",softball,2026-06-10
206,"Massachusetts","Mid-American","19-30","2265.67",softball,2026-06-10
207,"IL Chicago","Missouri Val","21-32-1","2405.11",softball,2026-06-10
208,"Seton Hall","Big East","19-30","1956.45",softball,2026-06-10
209,"Villanova","Big East","14-39","1717.16",softball,2026-06-10
210,"Binghamton","America East","20-27","1856.64",softball,2026-06-10
211,"Bryant","America East","21-23","2305.55",softball,2026-06-10
212,"G Washington","Atlantic 10","23-22","2125.99",softball,2026-06-10
213,"Weber St","Big Sky","14-42","1966.43",softball,2026-06-10
214,"George Mason","Atlantic 10","26-25","2225.77",softball,2026-06-10
215,"Drake","Missouri Val","13-38","1926.58",softball,2026-06-10
216,"Georgetown","Big East","16-26","2185.87",softball,2026-06-10
217,"ETSU","Southern","22-30","2275.63",softball,2026-06-10
218,"Lipscomb","Atlantic Sun","13-38","1996.34",softball,2026-06-10
219,"Kent","Mid-American","20-30","2295.56",softball,2026-06-10
220,"Queens NC","Atlantic Sun","14-34","2195.86",softball,2026-06-10
221,"Prairie View","Southwestern AC","27-19","2155.95",softball,2026-06-10
222,"Howard","Mid-Eastern AC","28-19","2235.75",softball,2026-06-10
223,"Florida A&M","Southwestern AC","32-22","2375.29",softball,2026-06-10
224,"TAM C. Christi","Southland","14-39","2365.30",softball,2026-06-10
225,"Bowling Green","Mid-American","20-29","2205.84",softball,2026-06-10
226,"Elon","Coastal","18-33","2086.12",softball,2026-06-10
227,"Longwood","Big South","21-32","2076.12",softball,2026-06-10
228,"N Kentucky","Horizon","26-25","2415.06",softball,2026-06-10
229,"Cal Poly","Big West","11-35","2106.07",softball,2026-06-10
230,"Bradley","Missouri Val","16-37","2036.18",softball,2026-06-10
231,"Youngstown St","Horizon","31-20","2325.48",softball,2026-06-10
232,"SUNY Albany","America East","25-20","2285.58",softball,2026-06-10
233,"Rhode Island","Atlantic 10","21-26","2574.44",softball,2026-06-10
234,"MA Lowell","America East","27-27","2425.01",softball,2026-06-10
235,"Kennesaw","Conference USA","7-43","2145.95",softball,2026-06-10
236,"Iona","Metro Atlantic","27-26","2385.23",softball,2026-06-10
237,"Southern Univ","Southwestern AC","37-15","2653.91",softball,2026-06-10
238,"UMBC","America East","10-8","2484.84",softball,2026-06-10
239,"Fairfield","Metro Atlantic","27-24","2395.21",softball,2026-06-10
240,"Presbyterian","Big South","20-32","2444.88",softball,2026-06-10
241,"Yale","Ivy League","17-28","2315.49",softball,2026-06-10
242,"UC Riverside","Big West","6-38","2096.08",softball,2026-06-10
243,"Rider","Metro Atlantic","25-24","2474.84",softball,2026-06-10
244,"Houston Chr","Southland","11-36","2454.87",softball,2026-06-10
245,"TX Southern","Southwestern AC","30-12","2594.35",softball,2026-06-10
246,"West Georgia","Atlantic Sun","15-40","2514.67",softball,2026-06-10
247,"Abilene Chr","Western Athletic","7-41","2165.95",softball,2026-06-10
248,"Cornell","Ivy League","21-22","2494.83",softball,2026-06-10
249,"Siena","Metro Atlantic","25-22","2464.86",softball,2026-06-10
250,"Stony Brook","Coastal","21-29","2355.31",softball,2026-06-10
251,"Southern Indiana","OH Valley","15-32","2434.98",softball,2026-06-10
252,"Quinnipiac","Metro Atlantic","24-21","2544.61",softball,2026-06-10
253,"CS Bakersfield","Big West","10-40","2524.62",softball,2026-06-10
254,"Tennessee Tech","OH Valley","16-34","2345.39",softball,2026-06-10
255,"Towson","Coastal","25-26","2584.43",softball,2026-06-10
256,"Drexel","Coastal","22-23","2693.75",softball,2026-06-10
257,"Dartmouth","Ivy League","10-23","2335.40",softball,2026-06-10
258,"Sacred Heart","Metro Atlantic","23-31","2604.34",softball,2026-06-10
259,"Oakland","Horizon","25-24","2564.50",softball,2026-06-10
260,"Bethune-Cookman","Southwestern AC","21-28","2534.61",softball,2026-06-10
261,"Penn","Ivy League","17-27","2614.20",softball,2026-06-10
262,"Monmouth NJ","Coastal","20-31","2683.78",softball,2026-06-10
263,"LIU Brooklyn","Northeast","24-32","2504.70",softball,2026-06-10
264,"Furman","Southern","13-40","2644.10",softball,2026-06-10
265,"WI Green Bay","Horizon","16-31","2554.54",softball,2026-06-10
266,"Central Conn","Northeast","28-19","2703.66",softball,2026-06-10
267,"Alabama St","Southwestern AC","24-32","2673.79",softball,2026-06-10
268,"Bellarmine","Atlantic Sun","12-38","2713.63",softball,2026-06-10
269,"Jackson St","Southwestern AC","25-23","2663.85",softball,2026-06-10
270,"Canisius","Metro Atlantic","17-27","2624.16",softball,2026-06-10
271,"Mt St Mary's","Metro Atlantic","20-28","2813.04",softball,2026-06-10
272,"Detroit","Horizon","15-32","2753.28",softball,2026-06-10
273,"Charleston So","Big South","10-41","2634.14",softball,2026-06-10
274,"Lafayette","Patriot League","16-36","2733.38",softball,2026-06-10
275,"Wagner","Northeast","22-28","2803.13",softball,2026-06-10
276,"NC A&T","Coastal","20-33","2763.25",softball,2026-06-10
277,"W Illinois","OH Valley","14-32","2822.89",softball,2026-06-10
278,"Maine","America East","12-36","2773.18",softball,2026-06-10
279,"Delaware St","Mid-Eastern AC","28-18","2921.64",softball,2026-06-10
280,"Manhattan","Metro Atlantic","15-37","2842.76",softball,2026-06-10
281,"Bucknell","Patriot League","9-35-1","2743.32",softball,2026-06-10
282,"Merrimack","Metro Atlantic","12-29","2852.49",softball,2026-06-10
283,"F Dickinson","Northeast","20-32","2862.42",softball,2026-06-10
284,"IUPUI","Horizon","7-40","2723.62",softball,2026-06-10
285,"East Texas A&M","Southland","6-46","2783.16",softball,2026-06-10
286,"Morehead St","OH Valley","7-39","2793.16",softball,2026-06-10
287,"S Carolina St","Mid-Eastern AC","23-21","2872.00",softball,2026-06-10
288,"St Bonaventure","Atlantic 10","9-44","2911.71",softball,2026-06-10
289,"Norfolk St","Mid-Eastern AC","22-21","2961.46",softball,2026-06-10
290,"Hampton","Coastal","10-33","2941.60",softball,2026-06-10
291,"Le Moyne","Northeast","16-35","2891.77",softball,2026-06-10
292,"Holy Cross","Patriot League","10-34","2901.74",softball,2026-06-10
293,"Stonehill","Northeast","13-37","2951.52",softball,2026-06-10
294,"Morgan St","Mid-Eastern AC","15-28","2931.62",softball,2026-06-10
295,"Ark Pine Bluff","Southwestern AC","14-32","2981.27",softball,2026-06-10
296,"Grambling","Southwestern AC","14-28-1","2991.08",softball,2026-06-10
297,"Niagara","Metro Atlantic","8-34","2971.36",softball,2026-06-10
298,"New Haven","Northeast","10-35","306-0.09",softball,2026-06-10
299,"Tennessee St","OH Valley","2-38","2832.87",softball,2026-06-10
300,"Mercyhurst","Northeast","9-34","3050.13",softball,2026-06-10
301,"Alcorn St","Southwestern AC","15-34-1","3020.50",softball,2026-06-10
302,"Alabama A&M","Southwestern AC","19-31","3030.40",softball,2026-06-10
303,"St Peter's","Metro Atlantic","7-44","3010.80",softball,2026-06-10
304,"NC Central","Mid-Eastern AC","8-40","3000.84",softball,2026-06-10
305,"St Francis PA","Northeast","5-42-1","2881.88",softball,2026-06-10
306,"Coppin St","Mid-Eastern AC","9-27","3040.19",softball,2026-06-10
307,"MD E Shore","Mid-Eastern AC","15-33","307-1.23",softball,2026-06-10
308,"MS Valley St","Southwestern AC","1-38","308-4.16",softball,2026-06-10
