rank,team,conference,record,rating,sport,date
44,"Kansas St","Big 12","30-27","448.45",baseball,2026-05-23
45,"Virginia Tech","Atlantic Coast","30-23","458.44",baseball,2026-05-23
46,"Mercer","Southern","43-14","468.43",baseball,2026-05-23
47,"East Carolina","American Athletic","33-21-1","478.43",baseball,2026-05-23
48,"Campbell","Coastal","40-15","488.43",baseball,2026-05-23
49,"Louisville","Atlantic Coast","30-27","498.42",baseball,2026-05-23
50,"Cal Baptist","Western Athletic","44-13","508.41",baseball,2026-05-23
51,"Missouri St","Conference USA","32-18","518.40",baseball,2026-05-23
52,"Purdue","Big 10","37-19","528.40",baseball,2026-05-23
53,"Louisiana","Sun Belt","36-22","538.40",baseball,2026-05-23
54,"Michigan","Big 10","34-23","548.39",baseball,2026-05-23
55,"California","Atlantic Coast","29-26","558.39",baseball,2026-05-23
56,"Baylor","Big 12","29-27","568.38",baseball,2026-05-23
57,"Stanford","Atlantic Coast","28-26","578.37",baseball,2026-05-23
58,"Texas St","Sun Belt","36-22","588.37",baseball,2026-05-23
59,"Dallas Bap","Conference USA","34-24","598.37",baseball,2026-05-23
60,"Iowa","Big 10","33-23","608.36",baseball,2026-05-23
61,"Cal Poly","Big West","34-21","618.34",baseball,2026-05-23
62,"Gonzaga","West Coast","35-18","628.34",baseball,2026-05-23
63,"Rice","American Athletic","35-22","638.32",baseball,2026-05-23
64,"Utah","Big 12","26-25","648.32",baseball,2026-05-23
65,"Minnesota","Big 10","30-23","658.31",baseball,2026-05-23
66,"South Alabama","Sun Belt","34-22","668.31",baseball,2026-05-23
67,"BYU","Big 12","28-28","678.29",baseball,2026-05-23
68,"South Florida","American Athletic","32-21","688.29",baseball,2026-05-23
69,"Duke","Atlantic Coast","26-30","698.28",baseball,2026-05-23
70,"Texas Tech","Big 12","27-28","708.27",baseball,2026-05-23
71,"Troy","Sun Belt","30-27","718.26",baseball,2026-05-23
72,"UAB","American Athletic","31-25","728.25",baseball,2026-05-23
73,"Kent","Mid-American","39-14","738.25",baseball,2026-05-23
74,"Tarleton St","Western Athletic","35-19","748.24",baseball,2026-05-23
75,"Ohio St","Big 10","30-25","758.24",baseball,2026-05-23
76,"Louisiana Tech","Conference USA","33-24","768.22",baseball,2026-05-23
77,"Citadel","Southern","33-24","778.21",baseball,2026-05-23
78,"San Diego St","Mountain West","33-22","788.21",baseball,2026-05-23
79,"South Carolina","Southeastern","22-35","798.21",baseball,2026-05-23
80,"Houston","Big 12","24-31","808.21",baseball,2026-05-23
81,"UC Irvine","Big West","25-27","818.20",baseball,2026-05-23
82,"High Point","Big South","36-18","828.19",baseball,2026-05-23
83,"Arkansas St","Sun Belt","29-24","838.19",baseball,2026-05-23
84,"Illinois","Big 10","28-27","848.19",baseball,2026-05-23
85,"Charlotte","American Athletic","28-28","858.18",baseball,2026-05-23
86,"Miami OH","Mid-American","38-16","868.18",baseball,2026-05-23
87,"W Carolina","Southern","36-22","878.18",baseball,2026-05-23
88,"Hawaii","Big West","27-23","888.17",baseball,2026-05-23
89,"Kennesaw","Conference USA","25-27","898.17",baseball,2026-05-23
90,"Indiana","Big 10","23-31","908.16",baseball,2026-05-23
91,"Missouri","Southeastern","23-31","918.16",baseball,2026-05-23
92,"WKU","Conference USA","30-26","928.16",baseball,2026-05-23
93,"Samford","Southern","30-24","938.16",baseball,2026-05-23
94,"Arizona","Big 12","19-34","948.16",baseball,2026-05-23
95,"SE Missouri St","OH Valley","39-18","958.15",baseball,2026-05-23
96,"FL Atlantic","American Athletic","28-28","968.15",baseball,2026-05-23
97,"Michigan St","Big 10","24-31","978.14",baseball,2026-05-23
98,"Xavier","Big East","28-28","988.14",baseball,2026-05-23
99,"Appalachian St","Sun Belt","30-24","998.14",baseball,2026-05-23
100,"Washington St","Mountain West","27-25","1008.13",baseball,2026-05-23
101,"UC San Diego","Big West","24-27","1018.12",baseball,2026-05-23
102,"Connecticut","Big East","32-26","1028.12",baseball,2026-05-23
103,"Wichita St","American Athletic","29-28","1038.12",baseball,2026-05-23
104,"CS Fullerton","Big West","24-31","1048.12",baseball,2026-05-23
105,"St Mary's CA","West Coast","32-24","1058.12",baseball,2026-05-23
106,"Washington","Big 10","25-31","1068.11",baseball,2026-05-23
107,"SE Louisiana","Southland","34-21","1078.11",baseball,2026-05-23
108,"Creighton","Big East","30-25","1088.11",baseball,2026-05-23
109,"UC Davis","Big West","26-28","1098.11",baseball,2026-05-23
110,"Maryland","Big 10","27-29","1108.10",baseball,2026-05-23
111,"Rutgers","Big 10","26-30","1118.09",baseball,2026-05-23
112,"Lamar","Southland","33-25","1128.08",baseball,2026-05-23
113,"ETSU","Southern","30-22","1138.07",baseball,2026-05-23
114,"UNC Wilmington","Coastal","29-27","1148.06",baseball,2026-05-23
115,"Wofford","Southern","34-22","1158.06",baseball,2026-05-23
116,"SC Upstate","Big South","31-27","1168.05",baseball,2026-05-23
117,"Air Force","Mountain West","26-26","1178.05",baseball,2026-05-23
118,"Tulane","American Athletic","25-31","1188.05",baseball,2026-05-23
119,"Utah Tech","Western Athletic","35-23","1198.04",baseball,2026-05-23
120,"Northeastern","Coastal","34-20","1208.04",baseball,2026-05-23
121,"Oral Roberts","Summit Lg","33-23","1218.04",baseball,2026-05-23
122,"Portland","West Coast","27-25","1228.04",baseball,2026-05-23
123,"FGCU","Atlantic Sun","35-21","1238.04",baseball,2026-05-23
124,"Old Dominion","Sun Belt","29-26","1248.04",baseball,2026-05-23
125,"CS Sacramento","Western Athletic","27-31","1258.03",baseball,2026-05-23
126,"Memphis","American Athletic","24-32","1268.01",baseball,2026-05-23
127,"Col Charleston","Coastal","28-28","1278.01",baseball,2026-05-23
128,"UNLV","Mountain West","30-25","1288.01",baseball,2026-05-23
129,"CS Northridge","Big West","25-28","1298.01",baseball,2026-05-23
130,"Grand Canyon","Mountain West","21-30","1308.01",baseball,2026-05-23
131,"Indiana St","Missouri Val","30-26","1318.00",baseball,2026-05-23
132,"Georgia St","Sun Belt","27-30","1328.00",baseball,2026-05-23
133,"New Mexico","Mountain West","29-22-1","1338.00",baseball,2026-05-23
134,"St John's","Big East","31-24","1347.99",baseball,2026-05-23
135,"N Illinois","Mid-American","34-17","1357.98",baseball,2026-05-23
136,"Santa Clara","West Coast","25-29","1367.98",baseball,2026-05-23
137,"Winthrop","Big South","33-23","1377.98",baseball,2026-05-23
138,"San Jose St","Mountain West","24-27","1387.97",baseball,2026-05-23
139,"McNeese St","Southland","31-25","1397.97",baseball,2026-05-23
140,"Northwestern","Big 10","21-30-1","1407.97",baseball,2026-05-23
141,"Nevada","Mountain West","24-27","1417.96",baseball,2026-05-23
142,"UTRGV","Southland","26-29","1427.96",baseball,2026-05-23
143,"Sam Houston St","Conference USA","25-33","1437.96",baseball,2026-05-23
144,"Jacksonville","Atlantic Sun","29-25","1447.94",baseball,2026-05-23
145,"Wright St","Horizon","26-26","1457.93",baseball,2026-05-23
146,"Abilene Chr","Western Athletic","26-31","1467.93",baseball,2026-05-23
147,"SIUE","OH Valley","33-22","1477.93",baseball,2026-05-23
148,"ULM","Sun Belt","27-28","1487.93",baseball,2026-05-23
149,"Charleston So","Big South","30-21","1497.93",baseball,2026-05-23
150,"E Illinois","OH Valley","32-19","1507.92",baseball,2026-05-23
151,"Illinois St","Missouri Val","33-24","1517.92",baseball,2026-05-23
152,"Ark Little Rock","OH Valley","32-26","1527.91",baseball,2026-05-23
153,"VCU","Atlantic 10","33-22","1537.91",baseball,2026-05-23
154,"St Joseph's PA","Atlantic 10","35-19","1547.90",baseball,2026-05-23
155,"San Diego","West Coast","20-30-1","1557.90",baseball,2026-05-23
156,"Marshall","Sun Belt","23-32","1567.89",baseball,2026-05-23
157,"Murray St","Missouri Val","33-25","1577.89",baseball,2026-05-23
158,"North Florida","Atlantic Sun","31-23","1587.89",baseball,2026-05-23
159,"Northwestern LA","Southland","26-26","1597.88",baseball,2026-05-23
160,"UT Arlington","Western Athletic","19-32","1607.87",baseball,2026-05-23
161,"UNC Greensboro","Southern","23-33","1617.86",baseball,2026-05-23
162,"Richmond","Atlantic 10","33-22","1627.86",baseball,2026-05-23
163,"Toledo","Mid-American","31-26","1637.86",baseball,2026-05-23
164,"CS Bakersfield","Big West","23-32","1647.85",baseball,2026-05-23
165,"Penn St","Big 10","16-35","1657.84",baseball,2026-05-23
166,"Nicholls St","Southland","25-26","1667.84",baseball,2026-05-23
167,"Pacific","West Coast","24-28-1","1677.84",baseball,2026-05-23
168,"W Michigan","Mid-American","27-24","1687.84",baseball,2026-05-23
169,"MTSU","Conference USA","26-31","1697.83",baseball,2026-05-23
170,"Long Beach St","Big West","17-35","1707.83",baseball,2026-05-23
171,"James Madison","Sun Belt","21-32","1717.83",baseball,2026-05-23
172,"North Alabama","Atlantic Sun","30-26","1727.83",baseball,2026-05-23
173,"Cent Arkansas","Atlantic Sun","31-26","1737.83",baseball,2026-05-23
174,"Lipscomb","Atlantic Sun","27-24","1747.81",baseball,2026-05-23
175,"Houston Chr","Southland","24-29","1757.81",baseball,2026-05-23
176,"San Francisco","West Coast","25-29","1767.81",baseball,2026-05-23
177,"Stetson","Atlantic Sun","23-32","1777.81",baseball,2026-05-23
178,"Monmouth NJ","Coastal","30-22","1787.80",baseball,2026-05-23
179,"Yale","Ivy League","30-13-1","1797.78",baseball,2026-05-23
180,"Pepperdine","West Coast","21-33","1807.78",baseball,2026-05-23
181,"IL Chicago","Missouri Val","25-27-1","1817.78",baseball,2026-05-23
182,"Lindenwood","OH Valley","30-28","1827.77",baseball,2026-05-23
183,"New Orleans","Southland","24-30","1837.76",baseball,2026-05-23
184,"Ga Southern","Sun Belt","16-40","1847.76",baseball,2026-05-23
185,"Morehead St","OH Valley","31-24","1857.76",baseball,2026-05-23
186,"NE Omaha","Summit Lg","21-26","1867.76",baseball,2026-05-23
187,"Florida Intl","Conference USA","19-35","1877.75",baseball,2026-05-23
188,"SF Austin","Southland","29-27","1887.75",baseball,2026-05-23
189,"Hofstra","Coastal","22-27","1897.75",baseball,2026-05-23
190,"Austin Peay","Atlantic Sun","24-31","1907.73",baseball,2026-05-23
191,"Evansville","Missouri Val","21-33","1917.73",baseball,2026-05-23
192,"New Mexico St","Conference USA","20-34","1927.72",baseball,2026-05-23
193,"Dayton","Atlantic 10","31-23","1937.72",baseball,2026-05-23
194,"Southern Indiana","OH Valley","29-28","1947.72",baseball,2026-05-23
195,"Radford","Big South","25-25","1957.71",baseball,2026-05-23
196,"Binghamton","America East","29-20","1967.71",baseball,2026-05-23
197,"George Mason","Atlantic 10","29-25","1977.70",baseball,2026-05-23
198,"Bethune-Cookman","Southwestern AC","38-19","1987.70",baseball,2026-05-23
199,"Longwood","Big South","29-26","1997.69",baseball,2026-05-23
200,"TAM C. Christi","Southland","23-28","2007.69",baseball,2026-05-23
201,"S Illinois","Missouri Val","25-31","2017.69",baseball,2026-05-23
202,"Ball St","Mid-American","25-30","2027.67",baseball,2026-05-23
203,"Stony Brook","Coastal","21-30","2037.67",baseball,2026-05-23
204,"Brown","Ivy League","23-20","2047.66",baseball,2026-05-23
205,"Penn","Ivy League","20-22","2057.65",baseball,2026-05-23
206,"Belmont","Missouri Val","21-34","2067.65",baseball,2026-05-23
207,"Rider","Metro Atlantic","31-17","2077.64",baseball,2026-05-23
208,"Utah Valley","Western Athletic","18-36","2087.64",baseball,2026-05-23
209,"Gardner Webb","Big South","25-30","2097.64",baseball,2026-05-23
210,"Elon","Coastal","20-33","2107.64",baseball,2026-05-23
211,"Incarnate Word","Southland","19-29","2117.64",baseball,2026-05-23
212,"S Dakota St","Summit Lg","23-30","2127.64",baseball,2026-05-23
213,"VMI","Southern","28-27","2137.63",baseball,2026-05-23
214,"Fresno St","Mountain West","14-38-1","2147.63",baseball,2026-05-23
215,"WI Milwaukee","Horizon","23-31","2157.62",baseball,2026-05-23
216,"Delaware","Conference USA","19-35","2167.62",baseball,2026-05-23
217,"Columbia","Ivy League","16-25-1","2177.62",baseball,2026-05-23
218,"William & Mary","Coastal","21-32","2187.61",baseball,2026-05-23
219,"Bryant","America East","27-25","2197.61",baseball,2026-05-23
220,"Seattle","West Coast","18-31","2207.61",baseball,2026-05-23
221,"Maine","America East","23-30","2217.60",baseball,2026-05-23
222,"Rhode Island","Atlantic 10","25-29","2227.60",baseball,2026-05-23
223,"Georgetown","Big East","28-28","2237.60",baseball,2026-05-23
