rank,team,dsr,record,conference,sport,date
141,"Winthrop",".468","29-21-0",".580",softball,2026-05-09
142,"Ball State",".467","23-25-0",".479",softball,2026-05-09
143,"Oregon State",".466","20-31-0",".392",softball,2026-05-09
144,"UAB",".465","21-33-0",".389",softball,2026-05-09
145,"Colorado State",".462","23-28-0",".451",softball,2026-05-09
146,"Utah Valley",".462","30-22-0",".577",softball,2026-05-09
147,"Boston College",".461","13-38-0",".255",softball,2026-05-09
148,"South Dakota State",".460","25-32-0",".439",softball,2026-05-09
149,"Western Carolina",".459","34-22-0",".607",softball,2026-05-09
150,"Butler",".459","25-19-0",".568",softball,2026-05-09
151,"Northern Illinois",".459","26-16-0",".619",softball,2026-05-09
152,"South Dakota",".458","17-33-1",".356",softball,2026-05-09
153,"UT Arlington",".453","24-23-0",".511",softball,2026-05-09
154,"Army",".452","33-23-0",".589",softball,2026-05-09
155,"Illinois",".451","15-39-0",".278",softball,2026-05-09
156,"Chattanooga",".451","23-28-1",".452",softball,2026-05-09
157,"Stephen F. Austin",".451","30-26-0",".536",softball,2026-05-09
158,"Michigan State",".450","17-34-0",".333",softball,2026-05-09
159,"Middle Tennessee",".450","21-30-0",".412",softball,2026-05-09
160,"Dayton",".448","26-22-0",".542",softball,2026-05-09
161,"Robert Morris",".444","27-17-0",".630",softball,2026-05-09
162,"Gardner-Webb",".444","31-24-0",".564",softball,2026-05-09
163,"Loyola Chicago",".443","26-23-0",".531",softball,2026-05-09
164,"Binghamton",".443","17-24-0",".415",softball,2026-05-09
165,"Harvard",".442","21-22-1",".489",softball,2026-05-09
166,"Fordham",".442","25-26-0",".490",softball,2026-05-09
167,"Northern Colorado",".441","24-27-0",".471",softball,2026-05-09
168,"Utah State",".439","19-35-0",".352",softball,2026-05-09
169,"North Dakota",".439","25-24-0",".538",softball,2026-05-09
170,"Brown",".439","20-23-0",".465",softball,2026-05-09
171,"UTSA",".437","24-33-0",".421",softball,2026-05-09
172,"Georgia State",".437","25-31-0",".446",softball,2026-05-09
173,"Mercer",".437","20-30-0",".400",softball,2026-05-09
174,"UC Davis",".436","29-25-0",".537",softball,2026-05-09
175,"San Diego",".435","19-30-0",".388",softball,2026-05-09
176,"Southern Utah",".435","21-29-0",".420",softball,2026-05-09
177,"Prairie View",".435","27-19-0",".587",softball,2026-05-09
178,"Southern",".434","26-14-0",".714",softball,2026-05-09
179,"Colgate",".434","27-25-0",".519",softball,2026-05-09
180,"Hofstra",".434","29-22-0",".569",softball,2026-05-09
181,"Villanova",".432","14-39-0",".264",softball,2026-05-09
182,"Columbia",".432","21-21-0",".500",softball,2026-05-09
183,"Saint Joseph's",".432","26-24-0",".520",softball,2026-05-09
184,"Missouri State",".431","22-28-0",".440",softball,2026-05-09
185,"UT Martin",".431","33-21-0",".611",softball,2026-05-09
186,"Seattle",".430","19-30-0",".388",softball,2026-05-09
187,"San Jose State",".430","15-33-0",".313",softball,2026-05-09
188,"Evansville",".430","21-30-0",".412",softball,2026-05-09
189,"Northwestern State",".429","24-29-0",".453",softball,2026-05-09
190,"Bryant",".428","21-22-0",".488",softball,2026-05-09
191,"College of Charleston",".428","28-28-0",".500",softball,2026-05-09
192,"Albany",".427","25-20-0",".556",softball,2026-05-09
193,"SIUE",".427","29-27-0",".518",softball,2026-05-09
194,"George Washington",".426","23-22-0",".511",softball,2026-05-09
195,"UTEP",".426","12-37-0",".245",softball,2026-05-09
196,"Memphis",".425","18-39-0",".316",softball,2026-05-09
197,"Southeast Missouri",".424","23-29-0",".442",softball,2026-05-09
198,"Texas Southern",".424","27-11-0",".732",softball,2026-05-09
199,"Saint Louis",".423","23-28-0",".451",softball,2026-05-09
200,"Lehigh",".421","25-28-0",".481",softball,2026-05-09
201,"George Mason",".420","26-25-0",".510",softball,2026-05-09
202,"Siena",".419","25-22-0",".532",softball,2026-05-09
203,"Illinois-Chicago",".419","21-32-1",".398",softball,2026-05-09
204,"Northern Kentucky",".417","24-23-0",".511",softball,2026-05-09
205,"Seton Hall",".417","19-30-0",".388",softball,2026-05-09
206,"Elon",".417","18-33-0",".353",softball,2026-05-09
207,"Buffalo",".416","24-32-0",".429",softball,2026-05-09
208,"Toledo",".416","15-35-0",".300",softball,2026-05-09
209,"Florida A&M",".416","30-19-0",".620",softball,2026-05-09
210,"Howard",".415","26-17-0",".605",softball,2026-05-09
211,"Longwood",".415","21-32-0",".396",softball,2026-05-09
212,"UMass",".415","19-30-0",".388",softball,2026-05-09
213,"Kent State",".414","20-30-0",".400",softball,2026-05-09
214,"Indiana State",".414","22-28-0",".440",softball,2026-05-09
215,"Youngstown State",".414","31-19-0",".620",softball,2026-05-09
216,"Cal State Northridge",".413","14-32-0",".304",softball,2026-05-09
217,"Dartmouth",".413","10-23-0",".303",softball,2026-05-09
218,"Bethune-Cookman",".413","21-28-0",".429",softball,2026-05-09
219,"Utah Tech",".412","19-34-0",".358",softball,2026-05-09
220,"DePaul",".412","20-30-0",".400",softball,2026-05-09
221,"Montana",".412","20-32-0",".407",softball,2026-05-09
222,"Kennesaw State",".412","7-43-0",".140",softball,2026-05-09
223,"Pacific",".411","18-34-0",".346",softball,2026-05-09
224,"Queens (NC)",".408","14-34-0",".292",softball,2026-05-09
225,"Bowling Green",".407","20-29-0",".408",softball,2026-05-09
226,"Stony Brook",".407","21-29-0",".420",softball,2026-05-09
227,"Bradley",".406","15-38-0",".283",softball,2026-05-09
228,"Drake",".406","13-38-0",".255",softball,2026-05-09
