rank,team,record,elo,delta,sport,date
204,Northern Ky.,26-23,1425.6,-0.78,softball,2026-05-12
205,Drexel,22-23,1423.59,3.72,softball,2026-05-12
206,Evansville,21-30,1421.67,-29.47,softball,2026-05-12
207,Buffalo,24-32,1420.78,-0.4,softball,2026-05-12
208,Montana,20-32,1420.07,9.32,softball,2026-05-12
209,Southeast Mo. St.,23-30,1419.62,3.66,softball,2026-05-12
210,Michigan St.,17-34,1418.97,-17.83,softball,2026-05-12
211,DePaul,20-30,1418.8,-14.1,softball,2026-05-12
212,Elon,18-33,1415.49,-9.59,softball,2026-05-12
213,San Jose St.,15-33,1414.75,-2.51,softball,2026-05-12
214,Pacific,18-34,1413.29,-5.28,softball,2026-05-12
215,Bethune-Cookman,21-28,1411.35,13.63,softball,2026-05-12
216,Alabama St.,23-32,1411.26,-2.09,softball,2026-05-12
217,Kent St.,20-30,1408.83,-26.68,softball,2026-05-12
218,Georgetown,16-26,1407.57,-33.15,softball,2026-05-12
219,ETSU,22-30,1406.32,-3.13,softball,2026-05-12
220,Valparaiso,22-30,1406.17,-5.88,softball,2026-05-12
221,Indiana St.,22-28,1403.62,-24.07,softball,2026-05-12
222,Cornell,21-22,1403.53,-4.61,softball,2026-05-12
223,Delaware St.,20-18,1402.2,-2.04,softball,2026-05-12
224,Massachusetts,19-30,1401.01,-4.52,softball,2026-05-12
225,Memphis,18-39,1399.95,-30.34,softball,2026-05-12
226,Rhode Island,21-26,1398.59,-0.43,softball,2026-05-12
227,Jackson St.,21-22,1398.36,-30.63,softball,2026-05-12
228,Bowling Green,20-29,1396.69,2.87,softball,2026-05-12
229,Towson,25-26,1393.75,-28.72,softball,2026-05-12
230,Siena,25-22,1391.99,-22.67,softball,2026-05-12
231,Yale,17-28,1388.01,-13.62,softball,2026-05-12
232,Sacred Heart,23-31,1387.49,0.19,softball,2026-05-12
233,Stony Brook,21-29,1387.08,-13.25,softball,2026-05-12
234,Illinois,15-39,1386.48,-4.72,softball,2026-05-12
235,Longwood,21-32,1386.43,-20.41,softball,2026-05-12
236,UIC,21-32,1384.67,-7.84,softball,2026-05-12
237,Mercer,20-30,1383.62,-12.79,softball,2026-05-12
238,South Carolina St.,20-20,1376.03,-19.08,softball,2026-05-12
239,Presbyterian,20-32,1373.4,-9.99,softball,2026-05-12
240,Queens (NC),14-34,1368.82,-11.97,softball,2026-05-12
241,LIU,24-32,1368.61,-4.36,softball,2026-05-12
242,Toledo,15-35,1368.36,-11.12,softball,2026-05-12
243,Mount St. Mary's,20-28,1367.6,-14.49,softball,2026-05-12
244,Utah St.,19-35,1367.52,-35.41,softball,2026-05-12
245,Kansas City,16-32,1364.62,4.69,softball,2026-05-12
246,Villanova,14-39,1364.33,-20.36,softball,2026-05-12
247,Utah Tech,19-34,1363.83,-3.93,softball,2026-05-12
248,Monmouth,20-31,1363.25,-14.93,softball,2026-05-12
249,Seton Hall,19-30,1363.05,-13.82,softball,2026-05-12
250,Penn,17-27,1361.49,-28.41,softball,2026-05-12
251,Oakland,12-24,1360.93,-27.67,softball,2026-05-12
252,Bradley,16-37,1357.61,-14.06,softball,2026-05-12
253,Norfolk St.,20-21,1355.48,-30.51,softball,2026-05-12
254,Lipscomb,13-38,1355.14,-15.22,softball,2026-05-12
255,Portland St.,14-32,1352.92,-12.22,softball,2026-05-12
256,Wagner,22-26,1351.0,-15.45,softball,2026-05-12
257,CSUN,14-32,1350.77,2.56,softball,2026-05-12
258,Dartmouth,10-23,1350.48,-23.79,softball,2026-05-12
259,Canisius,16-26,1348.42,-27.15,softball,2026-05-12
260,Green Bay,14-31,1347.18,-14.06,softball,2026-05-12
261,Tennessee Tech,16-34,1346.19,-12.44,softball,2026-05-12
262,Drake,13-38,1344.97,-18.88,softball,2026-05-12
263,A&M-Corpus Christi,14-39,1335.17,-22.16,softball,2026-05-12
264,N.C. A&T,19-33,1327.14,-35.4,softball,2026-05-12
265,UTEP,12-37,1326.77,-42.28,softball,2026-05-12
266,Southern Ind.,15-32,1321.16,-33.56,softball,2026-05-12
267,West Ga.,15-40,1320.3,-35.73,softball,2026-05-12
268,Houston Christian,11-36,1318.41,-31.1,softball,2026-05-12
269,Grambling,12-25,1313.57,-38.55,softball,2026-05-12
270,Lafayette,16-36,1312.95,-31.35,softball,2026-05-12
271,Furman,13-40,1305.88,-41.03,softball,2026-05-12
272,Abilene Christian,7-41,1305.7,-47.72,softball,2026-05-12
273,FDU,20-32,1304.32,-20.44,softball,2026-05-12
274,Detroit Mercy,14-32,1298.94,-42.75,softball,2026-05-12
275,Ark.-Pine Bluff,13-29,1298.31,-47.29,softball,2026-05-12
276,Morgan St.,13-28,1298.31,-42.08,softball,2026-05-12
277,Cal Poly,11-35,1294.61,-48.39,softball,2026-05-12
278,Kennesaw St.,7-43,1293.74,-57.07,softball,2026-05-12
279,Weber St.,14-42,1286.99,-48.19,softball,2026-05-12
