external_name,our_name
IUPUI,IU Indy
Idaho St,Idaho St.
Idaho State,Idaho St.
Illinois St,Illinois St.
Illinois State,Illinois St.
Illinois-Chicago,UIC
Incarnate Word,Incarnate Word
Indiana St,Indiana St.
Indiana State,Indiana St.
Iowa St,Iowa St.
Iowa State,Iowa St.
Jackson St,Jackson St.
Jackson State,Jackson St.
Jacksonville St,Jacksonville St.
Jacksonville State,Jacksonville St.
Kansas St,Kansas St.
Kansas State,Kansas St.
Kennesaw,Kennesaw St.
Kennesaw St,Kennesaw St.
Kennesaw State,Kennesaw St.
Kent,Kent St.
Kent State,Kent St.
LIU Brooklyn,LIU
Lamar University,Lamar
Long Beach St,Long Beach St.
Long Beach State,Long Beach St.
Long Island,LIU
Louisiana Tech,Louisiana Tech
Loy Marymount,LMU (CA)
Loyola Marymount,LMU (CA)
Loyola-Chicago,Loyola Chicago
MA Lowell,UMass Lowell
MD E Shore,UMES
MS Valley St,Mississippi Val.
MTSU,Middle Tenn.
McNeese St,McNeese
Miami,Miami (FL)
Miami FL,Miami (FL)
Miami OH,Miami (OH)
Michigan St,Michigan St.
Michigan State,Michigan St.
Middle Tenn,Middle Tennessee
Middle Tennessee,Middle Tenn.
Milwaukee,Milwaukee
Mississippi,Ole Miss
Mississippi St,Mississippi St.
Mississippi State,Mississippi St.
Mississippi Valley,Mississippi Val.
Missouri KC,Kansas City
Missouri St,Missouri St.
Missouri State,Missouri St.
Monmouth NJ,Monmouth
Montana St,Montana St.
Morehead St,Morehead St.
Morehead State,Morehead St.
Morgan St,Morgan St.
Morgan State,Morgan St.
Mt St Mary's,Mount St. Mary's
Murray St,Murray St.
Murray State,Murray St.
N Carolina,North Carolina
N Carolina A&T,North Carolina A&T
N Carolina St,NC State
N Colorado,Northern Colo.
N Dakota St,North Dakota St.
N Florida,North Florida
N Illinois,Northern Ill.
N Kentucky,Northern Kentucky
NC A&T,N.C. A&T
NC Central,N.C. Central
NE Omaha,Omaha
NJIT,NJIT
NW State,Northwestern St.
New Mexico St,New Mexico St.
New Mexico State,New Mexico St.
Nicholls St,Nicholls
Norfolk St,Norfolk St.
Norfolk State,Norfolk St.
North Alabama,North Ala.
North Carolina A&T,N.C. A&T
North Carolina Central,N.C. Central
North Carolina State,NC State
North Dakota State,North Dakota St.
Northern Colorado,Northern Colo.
Northern Ill.,NIU
Northern Illinois,NIU
Northern Iowa,UNI
Northern Kentucky,Northern Ky.
Northwestern LA,Northwestern St.
Northwestern State,Northwestern St.
Ohio St,Ohio St.
Ohio State,Ohio St.
Oklahoma St,Oklahoma St.
Oklahoma State,Oklahoma St.
Oral Roberts,Oral Roberts
Oregon St,Oregon St.
Oregon State,Oregon St.
Pacific,Pacific
Penn St,Penn St.
Penn State,Penn St.
Portland St,Portland St.
Portland State,Portland St.
Prairie View,Prairie View A&M
Queens NC,Queens (NC)
S Alabama,South Alabama
S Carolina,South Carolina
S Carolina St,South Carolina St.
S Carolina Upstate,USC Upstate
S Dakota St,South Dakota St.
S Florida,South Fla.
S Illinois,Southern Ill.
SC Upstate,USC Upstate
SE Louisiana,Southeastern La.
SE Missouri St,Southeast Missouri
SF Austin,SFA
SUNY Albany,UAlbany
Sacramento State,Sacramento St.
Sam Houston,Sam Houston St.
Sam Houston St,Sam Houston
Sam Houston State,Sam Houston St.
San Diego St,San Diego St.
San Diego State,San Diego St.
San Jose St,San Jose St.
San Jose State,San Jose St.
Seattle,Seattle U
South Carolina State,South Carolina St.
South Carolina Upstate,USC Upstate
South Dakota State,South Dakota St.
South Florida,South Fla.
Southeast Missouri,Southeast Missouri
Southeastern Louisiana,Southeastern La.
Southern,Southern U.
Southern Illinois,Southern Ill.
Southern Indiana,Southern Ind.
Southern Miss,Southern Miss.
Southern Univ,Southern U.
St Bonaventure,St. Bonaventure
St Francis PA,Saint Francis
St John's,St. John's (NY)
St Johns,Saint John's
St Joseph's PA,Saint Joseph's
St Josephs,Saint Joseph's
St Louis,Saint Louis
St Mary's CA,Saint Mary's (CA)
St Marys,Saint Mary's (CA)
St Peter's,Saint Peter's
St Peters,Saint Peter's
St Thomas MN,St. Thomas (MN)
St. John's,St. John's (NY)
Stephen F Austin,SFA
Stephen F. Austin,SFA
Stony Brook,Stony Brook
TAM C. Christi,A&M-Corpus Christi
TN Martin,UT Martin
TX Southern,Texas Southern
Tarleton St,Tarleton St.
Tarleton State,Tarleton St.
Tennessee St,Tennessee St.
Tennessee State,Tennessee St.
Tennessee Tech,Tennessee Tech
Texas A&M Corpus Christi,A&M-Corpus Christi
Texas A&M-Corpus Christi,A&M-Corpus Christi
Texas St,Texas St.
Texas State,Texas St.
Troy St,Troy
UC Davis,UC Davis
UC Irvine,UC Irvine
UC Riverside,UC Riverside
UC San Diego,UC San Diego
UC Santa Barbara,UC Santa Barbara
UL Monroe,ULM
UMass,UMass
UMass Lowell,UMass-Lowell
UNC Wilmington,UNCW
UNCG,UNC Greensboro
USC,Southern California
USF,South Fla.
UT Arlington,UTA
UT Martin,Tenn.-Martin
UT Rio Grande Valley,UTRGV
UT San Antonio,UTSA
Utah St,Utah St.
Utah State,Utah St.
Utah Valley,Utah Valley
W Carolina,Western Caro.
W Illinois,Western Ill.
W Kentucky,Western Ky.
W Michigan,Western Mich.
W Virginia,West Virginia
WI Green Bay,Green Bay
WI Milwaukee,Milwaukee
WKU,Western Ky.
Washington St,Washington
Washington State,Washington
Weber St,Weber St.
Weber State,Weber St.
West Georgia,West Ga.
Western Carolina,Western Caro.
Western Illinois,Western Ill.
Western Kentucky,Western Ky.
Western Michigan,Western Mich.
Wichita St,Wichita St.
Wichita State,Wichita St.
Wright St,Wright St.
Wright State,Wright St.
Youngstown St,Youngstown St.
Youngstown State,Youngstown St.
