id,school_id,State,education,avg_port_add_2years,avg_port_add_2years_rank,avg_port_loss_2years,avg_port_loss_2years_rank,portal_ab,portal_ab_rank,portal_ip,portal_ip_rank,AB50_player_year_C,AB50_player_year_rank_C,AB50_player_year_1B,AB50_player_year_rank_1B,AB50_player_year_2B,AB50_player_year_rank_2B,AB50_player_year_SS,AB50_player_year_rank_SS,AB50_player_year_3B,AB50_player_year_rank_3B,AB50_player_year_LF,AB50_player_year_rank_LF,AB50_player_year_CF,AB50_player_year_rank_CF,AB50_player_year_RF,AB50_player_year_rank_RF,IP20_player_year,IP20_player_year_rank,Coach_2yr_win_percentage,3yr_wOBA,3yr_OPS,3yr_wRAA,3yr_k_bb,3yr_ISO,3yr_xFIP,3yr_WHIP,3yr_K_BB,3yr_A_OPS,3yr_BB_Per,3yr_K_percentage
656,668,38,0.8353,5.5,0.6087,5,0.5099,203.3333333,0.4914,96.55533333,0.8446,1.361344538,0.2603,0.617977528,0.0108,3,0.8447,4,1,2.76,0.663,1.926829268,0.4545,2,0.4906,2,0.5581,0.534271132,0.5827,0.477,0.376066667,0.359666667,0.3717,0.5007,0.379066667,0.624066667,0.474133333,0.6301,0.551233333,0.384666667,0.8018
657,669,9,,4.5,0.8143,4,0.8852,147.3333333,0.6696,68.555,0.9186,2.203592814,0.7222,3.1,0.8512,1.677966102,0.399,4,1,1.696969697,0.4087,0,0,2,0.659,2.276243094,0.6754,1.337250865,1,0.439,0.539266667,0.526133333,0.527666667,0.776066667,0.378866667,0.701533333,0.690833333,0.641833333,0.654266667,0.6628,0.5388
658,670,25,0.7941,7.5,0.8161,8,0.852,160.3333333,0.3299,61.111,0.5743,0,0,3,0.8065,0.602150538,0.0227,4,1,2,0.5556,2,0.5652,2.3125,0.5356,0.495798319,0.0233,0,0,0.393,0.557333333,0.5519,0.547566667,0.6915,0.561866667,0.4926,0.671733333,0.610566667,0.6381,0.768666667,0.381433333
659,671,47,,0,0,1.5,0.4303,0,0,0,0,1.664,0.537,3,0.8326,2.571428571,0.7537,1,0.3053,1.824427481,0.4519,0.784,0.1268,0.962962963,0.129,1.619047619,0.3979,0,0,,0.043266667,0.044566667,0.0234,0.195133333,0.078566667,0.192133333,0.396566667,0.2483,0.3401,0.527366667,0.100866667
660,672,5,0.6029,2,0.1271,7,0.7566,24.33333333,0.0309,45,0.4392,1.253731343,0.2192,1.97979798,0.3513,4,1,3.157894737,0.8861,2,0.5556,0.565217391,0.0514,3,0.8165,3,0.8101,0,0,0.564,0.829266667,0.831433333,0.8271,0.4895,0.8205,0.5035,0.532433333,0.568066667,0.5836,0.584633333,0.541233333
661,673,23,,0.5,0.3541,0,0,0,0,0,0,3,0.8624,3.936507937,0.8981,0,0,4,1,4,1,2.2125,0.5507,3,0.7673,0,0,0,0,0.495,0.422933333,0.434333333,0.4228,0.342133333,0.413666667,0.5025,0.722866667,0.554766667,0.679033333,0.8298,0.3114
662,674,45,,1,0.2405,1,0.2705,15.33333333,0.0982,23.33333333,0.5204,3.757575758,0.9753,0,0,2.052631579,0.6847,0,0,1.78125,0.4279,2.148648649,0.678,0,0,0,0,0,0,0.16,0.1395,0.1474,0.189666667,0.122733333,0.2077,0.2481,0.1308,0.174,0.135766667,0.2322,0.1712
663,675,30,0.4765,4.5,0.4682,6.5,0.6941,247.6666667,0.6117,26.66633333,0.2264,0.581395349,0.0228,1,0.1577,3,0.8447,0,0,1.878787879,0.3963,0,0,2,0.4906,1.913043478,0.4147,0,0,0,0.144633333,0.132633333,0.152166667,0.3572,0.1684,0.009866667,0.0187,0.008433333,0.038166667,0.022966667,0.011666667
664,677,38,,0,0,1.5,0.8088,30.33333333,0.3715,12.889,0.5951,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0.457,0.1637,0.1541,0.155533333,0.479033333,0.1171,0.391,0.264333333,0.331233333,0.416633333,0.5005,0.2294
665,678,48,,0.5,0.097,3,0.7541,0.333333333,0.0089,4.333333333,0.1448,0,0,4,1,1.462962963,0.3498,2,0.6106,0,0,0.961038961,0.2293,1.576923077,0.4009,1.871794872,0.445,0,0,0.564,0.536766667,0.5434,0.539566667,0.485833333,0.499133333,0.722233333,0.740333333,0.7194,0.6,0.738266667,0.593166667
666,679,21,,0,0,2,0.8971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473,0.363466667,0.3661,0.3635,0.412666667,0.254,0.652133333,0.6564,0.667733333,0.6534,0.726133333,0.5722
667,680,20,,2.5,0.8833,3,0.9669,196.3333333,0.9763,12.111,0.5659,0,0,0,0,4,1,3,0.7676,1.863013699,0.3113,0.85,0.0435,2.23943662,0.4717,0,0,0,0,0.776,0.8869,0.8799,0.8938,0.8829,0.9002,0.8423,0.9602,0.7606,0.956,0.611566667,0.764466667
668,681,39,,1.5,0.6887,2.5,0.9338,12.66666667,0.1937,11.55533333,0.5561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699,0.903133333,0.8821,0.8933,0.9001,0.669866667,0.984566667,0.9897,0.9868,0.963566667,0.941966667,0.955233333
669,682,43,0.2559,3,0.2742,7.5,0.8092,205.6666667,0.4983,19.66633333,0.1554,0.585106383,0.0274,1,0.1577,1.663865546,0.322,1,0.153,,,2.628571429,0.6917,4,1,1.030769231,0.2519,0,0,0.503,0.235466667,0.2322,0.220166667,0.303233333,0.2268,0.5736,0.609266667,0.666666667,0.4953,0.759566667,0.5213
