sport,snapshot_date,name,display_conference,record_str,rpi,rpi_rank,projected_rpi,projected_rpi_rank,proj_record_str,sixty_four_rank,overall_seed,seed_tier,national_seed,is_auto_bid,bubble_status,conf_win_pct
softball,2026-04-04,USC Upstate,Big South,22-14,0.50653,130,0.4807739402427406,117,33-23,0.2671,48,3-seed,,True,,0.8333333333333334
softball,2026-04-04,Oregon St.,WCC,14-24,0.49533,148,0.48720485081435,118,23-32,0.3844,49,4-seed,,True,,0.5
softball,2026-04-04,Prairie View,SWAC,19-14,0.48105,163,0.5010979865924027,120,27-19,0.4593,50,4-seed,,True,,0.9166666666666666
softball,2026-04-04,Eastern Ill.,OVC,20-17,0.50444,134,0.4756823145411967,126,31-24,0.6417,51,4-seed,,True,,1.0
softball,2026-04-04,Butler,Big East,17-11,0.47676,171,0.4729405526734014,148,24-25,0.2704,52,4-seed,,True,,0.8181818181818182
softball,2026-04-04,Saint Joseph's,Atlantic 10,16-14,0.48098,164,0.4681304916490992,152,23-26,0.4332,53,4-seed,,True,,0.7777777777777778
softball,2026-04-04,Howard,MEAC,15-13,0.47163,179,0.4591635054200157,170,23-23,0.4169,54,4-seed,,True,,0.8888888888888888
softball,2026-04-04,Hofstra,CAA,18-15,0.45497,205,0.4645019225672397,179,25-27,0.7557,55,4-seed,,True,,0.9166666666666666
softball,2026-04-04,Youngstown St.,Horizon,17-12,0.44197,225,0.448458302808533,182,31-25,0.5081,56,4-seed,,True,,0.8333333333333334
softball,2026-04-04,Marist,MAAC,15-17,0.42443,250,0.4675799647053009,183,27-27,0.43,57,4-seed,,True,,0.9
softball,2026-04-04,Binghamton,America East,7-17,0.44348,221,0.4283562625507316,195,18-33,0.2215,58,4-seed,,True,,1.0
softball,2026-04-04,LIU,NEC,10-25,0.37421,285,0.4042748561727676,252,18-36,0.1336,59,4-seed,,True,,1.0
softball,2026-04-04,Grand Canyon,Mountain West,37-2,0.61714,28,,999,0-0,0.9707,60,4-seed,,True,,1.0
softball,2026-04-04,Omaha,Summit League,24-7,0.57966,45,,999,0-0,0.899,61,4-seed,,True,,1.0
softball,2026-04-04,North Ala.,ASUN,24-8,0.57094,54,,999,0-0,0.7687,62,4-seed,,True,,0.7777777777777778
softball,2026-04-04,UNC Greensboro,SoCon,25-13,0.54361,80,,999,0-0,0.772,63,4-seed,,True,,1.0
softball,2026-04-04,Montana,Big Sky,11-22,0.44012,230,,999,0-0,0.2182,64,4-seed,,True,,1.0
softball,2026-04-04,Louisiana,Sun Belt,20-17,0.57442,51,0.5369826565461792,44,31-23,0.8502,65,first_four_out,,False,first_out,0.3
softball,2026-04-04,Northwestern,Big Ten,16-16,0.57284,53,0.5344333788406616,42,27-23,0.9088,66,first_four_out,,False,first_out,0.4444444444444444
softball,2026-04-04,Wisconsin,Big Ten,19-11,0.57742,47,0.5316404083693701,43,29-21,0.798,67,first_four_out,,False,first_out,0.5555555555555556
softball,2026-04-04,South Fla.,American,28-11,0.58924,36,0.5375786499088682,39,36-19,0.8208,68,first_four_out,,False,first_out,0.7692307692307693
